i,treat_shannon,control_shannon,
67,1.443577553,5.272803834,1
68,3.906195475,5.271479995,1
69,2.575075455,5.275472481,1
70,1.66270314,5.272324448,1
71,1.226311413,5.272969413,1
72,4.32248166,5.271441093,1
73,2.419863871,5.271408614,1
74,2.111244817,5.274607073,1
75,3.223119415,5.26899168,1
76,2.801550328,5.274200916,1
77,4.143407593,5.27190209,1
78,3.041560037,5.272803698,1
79,3.057164411,5.274077842,1
80,1.60761491,5.273890555,1
81,2.600229214,5.275907068,1
82,2.454044491,5.273357067,1
83,3.033808949,5.273225325,1
84,2.520800618,5.274608617,1
85,1.756317175,5.27306775,1
86,2.882528895,5.274255337,1
87,3.205191264,5.274016064,1
88,3.129941618,5.274207705,1
89,3.151390251,5.271837012,1
90,2.462340705,5.27263098,1
91,3.976719053,5.272201414,1
92,3.317266838,5.27204602,1
93,2.946873711,5.275146555,1
94,3.841033667,5.269032497,1
95,4.338627196,5.272536142,1
96,3.333203701,5.272098587,1
97,4.250331208,5.270882884,1
98,1.319292145,5.271327801,1
99,4.320015454,5.273312652,1
100,3.209600736,5.272469883,1
101,0.678765268,5.272141511,1
102,2.532750219,5.271339758,1
103,1.986107644,5.274632828,1
104,5.076975799,5.271864474,1
105,2.944894753,5.273369097,1
106,3.631666714,5.273205854,1
107,1.936964934,5.272261375,1
108,3.073904473,5.272775356,1
109,3.385567529,5.272012543,1
110,2.818189067,5.272616608,1
111,3.385521883,5.272220076,1
112,2.509425577,5.274074368,1
113,3.401745146,5.271517991,1
114,2.758326125,5.273888104,1
115,0.620800408,5.27311613,1
116,3.470454928,5.272200496,1
117,1.7607858,5.278646837,1
118,3.891123482,5.274530653,1
119,3.177720255,5.27113224,1
120,3.028836807,5.273243099,1
121,2.76669749,5.272931426,1
122,3.452461909,5.2751825,1
123,3.077459501,5.271746727,1
124,3.942309048,5.273530756,1
125,3.806183006,5.272251284,1
126,2.810425814,5.272772538,1
127,3.975185785,5.272737689,1
128,3.193455556,5.275472582,1
129,3.35824442,5.272958338,1
130,3.551115981,5.274012917,1
131,0.864405799,5.271649583,1
132,2.514583209,5.272014214,1
133,0.712026005,5.271115936,1
134,3.683962119,5.273641688,1
135,2.476802958,5.273061584,1
136,2.974949766,5.274207604,1
137,3.136915142,5.273141473,1
138,3.713915176,5.272054606,1
139,4.000602147,5.272739663,1
140,3.868023883,5.271363005,1
141,2.419222101,5.274421764,1
142,4.001137536,5.274458918,1
143,3.304415042,5.272461214,1
144,3.969075098,5.268613777,1
145,3.099987749,5.271795021,1
146,2.568039435,5.273612846,1
147,3.228037914,5.274341727,1
148,2.922427767,5.268550821,1
149,4.146568952,5.274404868,1
150,2.873384844,5.273157133,1
151,2.393317134,5.271351826,1
152,2.395248088,5.272712537,1
153,2.651534244,5.273058607,1
154,3.086205853,5.273121764,1
155,2.35153105,5.27583339,1
156,3.190378506,5.271963264,1
157,2.538509654,5.273026284,1
158,2.402205546,5.272526719,1
159,2.396985518,5.272453449,1
160,2.6725927,5.272965768,1
161,2.06574382,5.272522708,1
162,1.832357957,5.274377544,1
163,3.744220099,5.274757868,1
164,3.466220715,5.271046317,1
165,0.979007345,5.274027338,1
166,3.412035487,5.274293744,1
167,2.233338589,5.272332827,1
168,3.448335023,5.271534539,1
169,3.254828272,5.273686993,1
170,3.150065006,5.272374379,1
171,3.219655328,5.273752792,1
172,1.981288128,5.271253056,1
173,3.443052101,5.272551031,1
174,2.436973452,5.272255357,1
175,3.212121341,5.272397765,1
176,2.949346971,5.273973982,1
177,2.552172675,5.272803002,1
178,3.945324343,5.272580963,1
179,3.785209246,5.272363235,1
180,2.818608923,5.272683149,1
181,1.256215188,5.272300607,1
182,2.699901846,5.269921349,1
183,3.944009487,5.27211513,1
184,3.802838934,5.272390277,1
185,1.900976089,5.27206504,1
186,2.039330569,5.271750306,1
187,1.029972132,5.273903968,1
188,2.581223393,5.272930636,1
189,2.208672936,5.271685708,1
190,1.749275094,5.271802377,1
191,3.534998694,5.271204836,1
192,2.709202852,5.272644885,1
193,1.3476254,5.271946264,1
194,2.518060733,5.271083479,1
195,1.129406063,5.27337535,1
196,2.877065508,5.274240451,1
197,2.37239692,5.269138996,1
198,2.775085097,5.27322391,1
199,3.104890061,5.273000178,1
