i,treat_shannon,control_shannon,type,qmd_MAE
177,1.04108976,2.815738125,1,0.809933936
178,0.494390877,2.792272553,1,0.626365118
179,2.086131775,2.72825819,1,0.492293262
180,1.780939719,2.754869062,1,0.610876519
181,1.376851383,2.705308313,1,0.877936201
182,2.016860072,2.667553588,1,1.63638528
183,0.902946926,2.785413635,1,1.03614617
184,2.715333596,2.684384762,0,0.783735881
185,2.597641089,2.74937109,1,0.573556175
186,1.317898387,2.640717521,1,0.867222544
187,1.706271867,2.711705622,1,0.710705162
188,1.664395593,2.719139,1,0.830357767
189,2.23104705,2.734279173,1,0.694316592
190,1.153043414,2.63703727,1,1.591097385
191,1.55680345,2.70493357,1,0.647180726
192,0.458464552,2.751114178,1,0.733470282
193,2.769525523,2.716179415,0,0.664123303
194,2.131145866,2.749965923,1,1.197618011
195,1.717382903,2.716714809,1,0.8380264
196,1.605913048,2.795072829,1,0.635293309
197,0.559115749,2.870966074,1,1.479091294
198,1.609565014,2.810560738,1,0.727196647
199,2.239031416,2.705794288,1,1.049833893
200,0.923140165,2.790045686,1,0.656208223
201,2.46120261,2.812775728,1,0.647688722
202,1.060146466,2.862866132,1,0.76063044
203,1.505348212,2.787355048,1,0.933705399
204,1.567572959,2.740979033,1,0.707173654
205,2.199795917,2.85692926,1,1.25857379
206,0.958859189,2.865522916,1,0.574313027
207,2.168459819,2.754810943,1,0.729364607
208,0.467157992,2.643041599,1,0.613531514
209,1.264465099,2.69133847,1,0.730062479
210,1.099597141,2.653916656,1,0.676609699
211,1.383765161,2.684450453,1,0.936991356
212,0.83441214,2.713994558,1,0.590758898
213,2.783106116,2.600862694,0,0.870026887
214,1.188907034,2.802303378,1,0.96255571
215,1.797590365,2.624228828,1,0.518574187
216,1.131220295,2.693966207,1,0.742910753
217,2.243237834,2.730403673,1,0.697700313
218,2.429476251,2.75128263,1,0.743560056
219,0.809324351,2.73964141,1,1.027252369
220,1.975266032,2.723210758,1,0.564172974
221,1.473468715,2.744958319,1,0.628464374
