i,treat_shannon,control_shannon,type,qmd_MAE
128,1.222121042,2.814397387,1,0.676327237
129,1.817644654,2.817268915,1,0.603117209
130,1.687970388,2.765517225,1,0.837141481
131,1.24754111,2.729026091,1,0.543487996
132,2.210668309,2.808373104,1,0.632906247
133,2.773589306,2.824154311,1,0.614779062
134,1.395364071,2.817335441,1,0.731999153
135,1.107090412,2.792410262,1,0.804254193
136,1.647776077,2.61836914,1,2.3231568
137,1.646834421,2.781977185,1,0.814995938
138,1.434166503,2.720262157,1,0.608617735
139,2.150015202,2.768913885,1,0.542104868
140,2.495764877,2.792374389,1,0.96142024
141,1.582690704,2.725749913,1,0.756857852
142,2.783062205,2.774650659,0,0.517651446
143,1.29647161,2.765614133,1,0.736454452
144,1.173075957,2.787597802,1,0.852022659
145,2.733367473,2.853037276,1,0.530236042
146,2.313819078,2.856779757,1,0.75484256
147,1.557244237,2.782452358,1,0.684069839
148,1.778934654,2.917519472,1,0.915346683
149,2.490791405,2.62134358,1,0.66878209
150,1.407073607,2.825051811,1,0.639964551
151,1.617275044,2.765570381,1,0.512124778
152,1.531256581,2.761397749,1,1.160393352
153,2.392206339,2.791106065,1,0.669920909
154,0.520316439,2.77367885,1,0.556820588
155,2.158803982,2.772266212,1,0.771601154
156,1.787539046,2.88042335,1,0.630494227
157,1.257052923,2.776094548,1,0.883441113
158,1.759464065,2.724485149,1,0.734998094
159,1.929151667,2.713170889,1,0.586087088
160,1.506887499,2.767935773,1,0.721178653
161,1.584499279,2.795837944,1,1.007748973
162,1.198728765,2.885104913,1,1.038924721
163,1.469544995,2.8375116,1,0.543378714
164,1.425161514,2.75497308,1,0.824941536
165,2.167906289,2.807721211,1,0.683571949
166,1.839634928,2.830483201,1,0.727191699
167,0.740000578,2.693442987,1,0.841523038
168,1.963980129,2.743571256,1,0.606553551
169,1.078641579,2.815572631,1,0.649791155
170,1.222535425,2.924866834,1,0.721919582
171,1.488219618,2.756782417,1,0.70534925
172,2.595001588,2.806747112,1,0.614407012
173,1.776916297,2.833868858,1,0.520545256
174,2.651268947,2.702770574,1,0.605765615
175,1.219792255,2.837297256,1,0.649607521
176,1.112126372,2.835768868,1,0.744442699
177,0.807903499,2.822807824,1,0.725098792
178,2.542177185,2.813075653,1,0.549227501
179,1.167029111,2.804892044,1,0.623529696
180,1.571718987,2.827842388,1,0.657137497
181,0.732025834,2.819539392,1,0.598761659
182,2.108461507,2.891602685,1,1.202402189
183,1.936881988,2.879562094,1,0.723150723
184,1.666316999,2.668794425,1,0.981629422
185,2.765471916,2.798584459,1,0.557318448
186,1.56359936,2.885558143,1,0.746939654
187,1.278807316,2.808466803,1,0.527473025
188,1.424427426,2.772095875,1,0.530066493
189,1.431191897,2.888595442,1,0.781534834
190,1.973685008,2.629016845,1,0.893889854
191,1.168639149,2.868468867,1,0.557406033
192,1.490699524,3.002991907,1,0.710924055
193,2.652942057,2.902805531,1,0.680056338
194,0.542377658,2.921675173,1,0.63700709
195,1.860378203,2.949662368,1,0.963266638
196,1.53526904,2.881895782,1,0.893280378
197,1.220008558,2.869442141,1,1.404017237
198,1.508505058,2.782441595,1,0.795451823
199,1.824525433,2.804257855,1,0.773286306
200,1.384010971,2.832360195,1,0.71965657
201,1.087787402,2.709384396,1,0.5218115
202,0.33826482,2.894975386,1,0.774963539
203,1.904640152,2.814104594,1,0.816458495
204,1.769686075,2.80874184,1,0.945435191
205,1.682064124,2.843751706,1,0.654100323
206,0.896083197,2.858642188,1,0.666489578
207,0.606056627,2.827100009,1,0.640199275
208,1.332156063,2.822459141,1,0.578648728
209,1.231915241,2.740639407,1,0.677225101
210,2.718981004,2.765471322,1,0.497362709
211,2.058606687,2.793386375,1,0.602225502
212,1.602789588,2.763765928,1,0.556131109
213,2.845923729,2.778525366,0,0.557635012
214,1.258034515,2.868152282,1,1.433110286
215,1.762888994,2.867208967,1,0.722010088
216,1.434190173,2.747944125,1,0.759212454
217,1.752821194,2.837109583,1,0.548014847
218,2.634567643,2.88085592,1,0.470625495
219,1.873884024,2.808121518,1,0.628162556
220,1.408399851,2.81947288,1,0.70122064
221,1.446470607,2.771985566,1,0.871725763
222,1.877256436,3.017268699,1,0.619111836
223,1.965125204,2.748181532,1,0.639661065
224,1.380687208,2.805080331,1,0.586244159
225,1.385729516,2.821209167,1,0.663509199
226,1.910160416,2.729861486,1,0.700352312
227,1.944066487,2.762195146,1,0.659901297
228,0.522354502,2.796187502,1,0.685979065
229,2.29400052,2.805636568,1,0.617186511
230,2.520535758,2.869515088,1,0.579671922
231,1.364103499,2.816278436,1,0.655921073
232,2.380745057,2.954692382,1,0.5272536
233,1.508383566,2.743069881,1,0.662219993
234,0.393058469,2.849013608,1,0.462137885
235,1.487741164,2.880697195,1,0.520709818
236,1.150224201,2.654517807,1,0.73467867
237,1.468876069,2.923818687,1,0.966793402
238,1.299186343,2.76556781,1,0.756384181
239,1.596260812,2.863443455,1,0.702701679
240,0.997372178,2.82197219,1,0.64120715
241,1.602931968,2.938050408,1,3.472651475
242,1.566254808,2.790909424,1,0.692919383
