i,changedTaxaCount,changedTaxaRate,MicrobiotaDensityFoldChange,qmd_Density_delta,MicrobiotaDensityFoldChange_ori,changfold,ancomP_FNR,ancomP_FPR,mwu_diff_pvalue_FNR,mwu_diff_pvalue_FPR,mwu_logged_pvalue_FNR,mwu_logged_pvalue_FPR,qmd_diff_pvalue_FNR,qmd_diff_pvalue_FPR,qmd_diff_qvalue_FPR,qmd_diff_qvalue_FNR,ANCOM_BC_diff_qval_FPR,ANCOM_BC_diff_qval_FNR,qmd_logged_Density_diff_MAE,logged_relative_abundance_diff_MAE,ANCOM_BC_diff_MAE,groupsize,DR_inferred_foldchange_MAE
25.0,23.0,0.3770491803278688,1.17274912406846,1.1999999999999993,-0.04334781708666924,0.17775509121796917,0.46153846153846156,0.0,0.23076923076923078,0.625,0.23076923076923078,0.625,0.0,0.075,0.0,0.07692307692307693,0.03125,0.9,0.672704949514591,1.6296701007623347,1.7111379648066198,98.0,1.3233214821695523
26.0,25.0,0.4098360655737705,2.0466431475985303,1.9800000000000004,-0.030880877953357814,-0.5004636914605589,0.5454545454545454,0.03125,0.18181818181818182,0.625,0.18181818181818182,0.625,0.13636363636363635,0.09375,0.0625,0.22727272727272727,0.043478260869565216,0.7894736842105263,0.627034779666179,2.299483223882835,2.6561040859020535,83.0,1.7354414713146202
27.0,40.0,0.6557377049180327,7.300705916283974,5.84,0.25012338859774985,1.5963031284353086,0.6086956521739131,0.05,0.2608695652173913,1.0,0.2608695652173913,1.0,0.13043478260869565,0.2,0.2,0.13043478260869565,0.05555555555555555,0.8695652173913043,1.027820727159012,6.782712225617955,2.210747322538985,51.0,3.114918479123518
28.0,49.0,0.8032786885245902,7.573534181184138,7.440000000000001,0.1702717414429884,-0.09360672464785347,0.42424242424242425,0.47619047619047616,0.12121212121212122,1.0,0.12121212121212122,1.0,0.0,0.047619047619047616,0.047619047619047616,0.12121212121212122,0.0,0.8461538461538461,0.6583957880996465,7.337427345795784,2.424780863700656,97.0,3.22367994861327
29.0,23.0,0.3770491803278688,1.4908905087267,1.8200000000000003,-0.2697999875095149,0.9986770827883017,0.36363636363636365,0.0,0.09090909090909091,0.4482758620689655,0.09090909090909091,0.4482758620689655,0.09090909090909091,0.06896551724137931,0.0,0.45454545454545453,0.0,0.9090909090909091,0.8641663447655266,2.1655771254103207,3.326977928458863,25.0,1.6930189862881755
30.0,49.0,0.8032786885245902,6.032046621695295,5.91,0.0939447218673024,0.1689106712796579,0.3235294117647059,0.4117647058823529,0.14705882352941177,1.0,0.14705882352941177,1.0,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.029411764705882353,0.08333333333333333,0.7666666666666667,0.6799256588728643,6.300828389477344,2.775169321645643,69.0,3.5901014209044315
31.0,39.0,0.639344262295082,4.514069275196789,5.039999999999999,-0.17511116527186488,0.31621207344720337,0.5,0.0,0.15,0.8823529411764706,0.15,0.8823529411764706,0.1,0.0,0.0,0.15,0.0,0.85,1.0017809984579171,4.95115280559436,2.388213535302948,25.0,2.398038045345083
32.0,46.0,0.7540983606557377,4.8115030359131135,4.16,-0.0017532217091087432,2.1984937875996917,0.4074074074074074,0.16666666666666666,0.18518518518518517,0.9444444444444444,0.18518518518518517,0.9444444444444444,0.037037037037037035,0.05555555555555555,0.05555555555555555,0.07407407407407407,0.1111111111111111,0.8,0.9759612302573697,4.897743283372638,2.762322425841099,49.0,3.2175300027593017
33.0,25.0,0.4098360655737705,2.7992311479470833,3.1999999999999993,0.1943214345281845,-0.07881580304664855,0.3333333333333333,0.0,0.26666666666666666,0.7333333333333333,0.26666666666666666,0.7333333333333333,0.2,0.1,0.03333333333333333,0.26666666666666666,0.038461538461538464,0.8461538461538461,0.771083906570502,3.2150187616666335,2.461423536470695,36.0,1.7118829469958905
34.0,38.0,0.6229508196721312,5.454687159922777,5.18,0.19935484338451914,-0.6388237079820477,0.28,0.39285714285714285,0.08,0.9642857142857143,0.08,0.9642857142857143,0.04,0.03571428571428571,0.0,0.04,0.0,0.9047619047619048,0.6200457145404076,5.41407993978501,1.915294675450777,71.0,3.0175377385535875
