i,changedTaxaCount,changedTaxaRate,MicrobiotaDensityFoldChange,qmd_Density_delta,MicrobiotaDensityFoldChange_ori,changfold,ancomP_FNR,ancomP_FPR,mwu_diff_pvalue_FNR,mwu_diff_pvalue_FPR,mwu_logged_pvalue_FNR,mwu_logged_pvalue_FPR,qmd_diff_pvalue_FNR,qmd_diff_pvalue_FPR,qmd_diff_qvalue_FPR,qmd_diff_qvalue_FNR,ANCOM_BC_diff_qval_FPR,ANCOM_BC_diff_qval_FNR,qmd_logged_Density_diff_MAE,logged_relative_abundance_diff_MAE,ANCOM_BC_diff_MAE,groupsize,DR_inferred_foldchange_MAE
110.0,76.0,0.7307692307692307,5.9505062980777765,6.129999999999999,-0.1811615185916544,-0.9646234978428879,0.014084507042253521,0.06451612903225806,0.0,1.0,0.0,1.0,0.0,0.12903225806451613,0.12903225806451613,0.0,0.9354838709677419,0.07142857142857142,0.004761939517146991,6.131559455113462,0.7012017080826363,69.0,3.6905317384373286
111.0,77.0,0.7403846153846154,5.294774082825519,5.279999999999999,0.013391341378188315,0.05178318121302233,0.0,0.1724137931034483,0.0,1.0,0.0,1.0,0.0,0.13793103448275862,0.13793103448275862,0.0,0.0,0.0273972602739726,0.006793117867422446,5.281553879856461,0.1073960779552559,52.0,3.5498710496770762
112.0,66.0,0.6346153846153846,7.4494691634825125,7.379999999999999,0.07353185374496718,0.2972722642523383,0.0,0.20512820512820512,0.0,1.0,0.0,1.0,0.015625,0.23076923076923078,0.23076923076923078,0.015625,0.0,0.047619047619047616,0.006188157112048349,7.375246780938575,0.13905636936479832,94.0,3.4426886584090073
113.0,74.0,0.7047619047619048,4.911317335531597,5.98,-1.0826874578700796,0.8082697160767993,0.3333333333333333,1.0,0.0,1.0,0.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,0.3655913978494624,0.021735018576978144,5.979947154717938,0.13496686085527054,7.0,4.002863486238944
114.0,43.0,0.4095238095238095,3.728348981304773,3.9700000000000006,-0.24286552175057,0.9658762669663173,0.0,0.08064516129032258,0.0,1.0,0.0,1.0,0.025,0.04838709677419355,0.03225806451612903,0.025,0.0,0.05,0.011042260707121878,3.9733513315027404,0.28307447389651064,29.0,1.9837004178931004
115.0,11.0,0.10476190476190476,3.886059560173489,3.92,-0.031647297759178634,-5.314851420612937,0.0,0.06521739130434782,0.0,1.0,0.0,1.0,0.0,0.13043478260869565,0.010869565217391304,0.0,0.0,0.0,0.006613736326008459,3.9168558998108263,0.09379372267287288,57.0,0.9960714163101683
116.0,96.0,0.9142857142857143,6.699269731693852,6.73,-0.03235817373819927,0.46586142109429474,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.18181818181818182,0.18181818181818182,0.0,1.0,0.12087912087912088,0.005051885728034908,6.733464517186445,1.085543479736625,89.0,4.4744533040380166
117.0,27.0,0.2571428571428571,5.520801569329922,5.01,0.5141402707494578,-0.0011761508603995974,0.0,0.039473684210526314,0.0,1.0,0.0,1.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.039473684210526314,0.09523809523809523,0.016394577039579233,5.008864563380862,0.2649771246319447,7.0,1.7817730902154518
118.0,82.0,0.7961165048543689,4.307944150324413,4.35,-0.03770203336899414,-0.7269620709876724,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.13043478260869565,0.08695652173913043,0.0,0.043478260869565216,0.17721518987341772,0.00797852001832693,4.344535661971801,0.8302918118894169,60.0,3.625314847447542
119.0,20.0,0.19047619047619047,2.1014117003460235,1.92,0.18018749109852195,-0.24940857595532737,0.0,0.047619047619047616,0.0,1.0,0.0,1.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.05555555555555555,0.007313684254489436,1.9209686605163123,0.10231099794679997,54.0,0.8130103215540359
120.0,62.0,0.5961538461538461,5.599648730325203,5.59,0.005970043653920953,0.06528110199075511,0.0,0.11904761904761904,0.0,1.0,0.0,1.0,0.0,0.35714285714285715,0.30952380952380953,0.0,0.0,0.05,0.005529786170965017,5.592769324620489,0.11150294739416972,92.0,2.861056702797017
121.0,73.0,0.7019230769230769,5.522809656943751,5.710000000000001,-0.18981784723074568,0.8718029213946067,0.0,0.17647058823529413,0.0,1.0,0.0,1.0,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.11764705882352941,0.004771620807771061,5.711936974320777,1.1171170446517664,70.0,3.584921154033564
122.0,51.0,0.4857142857142857,5.567906082573437,5.550000000000001,0.019129351823742983,0.4644888057056664,0.0,0.09433962264150944,0.0,1.0,0.0,1.0,0.0,0.03773584905660377,0.018867924528301886,0.0,0.0,0.02040816326530612,0.005549995775246179,5.549929869798049,0.14921062999770723,52.0,2.5970491790132004
123.0,33.0,0.3142857142857143,2.692017211321432,3.08,-0.3846330926207884,-0.8170219648713238,0.0,0.09722222222222222,0.0,1.0,0.0,1.0,0.0,0.2222222222222222,0.1388888888888889,0.0,0.0,0.0,0.008739074664794714,3.0771898431758244,0.11245095856898661,41.0,1.4727821129495173
