i,MicrobiotaDensityFoldChange,qmd_Density_delta,permutation_quantitle,permutation_pvalue,permutation_test
119.0,-0.07829993314306449,0.0,0.46,0.46,False
120.0,2.2964593242108933,2.1899999999999995,1.0,0.0,True
121.0,6.686947446242613,6.23,1.0,0.0,True
122.0,6.171238483655188,5.779999999999999,1.0,0.0,True
123.0,2.045515192940975,1.6999999999999993,1.0,0.0,True
124.0,0.6556365091762331,0.5600000000000005,1.0,0.0,True
125.0,1.7882298587170735,1.8000000000000007,1.0,0.0,True
126.0,3.524652291928533,3.66,1.0,0.0,True
127.0,3.1422202195304147,3.0,1.0,0.0,True
128.0,6.8768469743895,6.57,1.0,0.0,True
129.0,2.0309977710690887,1.6099999999999994,1.0,0.0,True
130.0,5.686254276524885,5.33,1.0,0.0,True
131.0,5.322225909751751,5.279999999999999,1.0,0.0,True
132.0,1.3263016942942656,1.4499999999999993,1.0,0.0,True
133.0,0.009089223466951069,-0.13000000000000078,0.128,0.128,False
134.0,5.157181443291427,5.710000000000001,1.0,0.0,True
135.0,5.282002608455656,5.220000000000001,1.0,0.0,True
136.0,6.2067809637180815,3.84,1.0,0.0,True
137.0,2.0816490815537776,1.9700000000000006,1.0,0.0,True
138.0,6.2638116029952045,6.440000000000001,1.0,0.0,True
139.0,2.0226794603594485,1.83,1.0,0.0,True
140.0,1.081876871742672,0.8200000000000003,0.996,0.0040000000000000036,True
141.0,5.2375097039796055,5.98,1.0,0.0,True
142.0,-0.0639821055317924,0.1999999999999993,0.932,0.06799999999999995,False
143.0,4.479830466904809,4.390000000000001,1.0,0.0,True
144.0,4.8099415706029305,4.960000000000001,1.0,0.0,True
145.0,0.12589821551600974,0.21000000000000085,0.986,0.014000000000000012,True
146.0,0.2117405059943991,0.14000000000000057,0.59,0.41000000000000003,False
147.0,4.818269612049527,4.68,1.0,0.0,True
148.0,5.2026052956051885,4.41,1.0,0.0,True
149.0,0.7656764702155954,0.3100000000000005,0.77,0.22999999999999998,False
150.0,5.100074084285055,5.34,1.0,0.0,True
151.0,3.6836686460390022,3.289999999999999,1.0,0.0,True
