,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance
502,taxa425,0,33,0.0,0.08505154639175258,0
503,taxa427922,1,6,0.00234192037470726,0.015463917525773196,0
504,taxa42837,0,10,0.0,0.02577319587628866,0
505,taxa429,0,23,0.0,0.059278350515463915,0
506,taxa434,1,32,0.00234192037470726,0.08247422680412371,0
507,taxa43668,0,27,0.0,0.06958762886597938,0
508,taxa437504,2,13,0.00468384074941452,0.03350515463917526,4.883087516998548e-06
509,taxa43773,1,16,0.00234192037470726,0.041237113402061855,0
510,taxa43996,11,15,0.02576112412177986,0.03865979381443299,5.6166301363170925e-06
511,taxa44000,4,34,0.00936768149882904,0.08762886597938144,1.7632885900259584e-05
512,taxa44013,0,4,0.0,0.010309278350515464,0
513,taxa44249,174,101,0.40749414519906324,0.2603092783505155,8.391697555067093e-05
514,taxa44260,20,43,0.0468384074941452,0.11082474226804123,7.211571438150577e-06
515,taxa44261,117,68,0.27400468384074944,0.17525773195876287,3.0369284828792056e-05
516,taxa44262,0,29,0.0,0.07474226804123711,0
517,taxa442869,0,9,0.0,0.023195876288659795,0
518,taxa444459,0,0,0.0,0.0,0
519,taxa44471,0,4,0.0,0.010309278350515464,0
520,taxa445,0,46,0.0,0.11855670103092783,0
521,taxa44675,0,12,0.0,0.030927835051546393,0
522,taxa447020,213,134,0.49882903981264637,0.34536082474226804,0.00016428442398751722
523,taxa44748,205,119,0.48009367681498827,0.30670103092783507,0.002361794388886327
524,taxa448125,5,14,0.0117096018735363,0.03608247422680412,5.944253716576973e-06
525,taxa453229,0,8,0.0,0.020618556701030927,0
526,taxa453850,0,6,0.0,0.015463917525773196,0
527,taxa455358,0,14,0.0,0.03608247422680412,0
528,taxa456826,0,18,0.0,0.04639175257731959,0
529,taxa458032,0,35,0.0,0.09020618556701031,0
530,taxa459532,4,1,0.00936768149882904,0.002577319587628866,5.187993890904471e-06
531,taxa459786,347,349,0.8126463700234192,0.8994845360824743,0.004586702746076996
532,taxa46123,61,64,0.14285714285714285,0.16494845360824742,1.514936906925385e-05
533,taxa46205,117,71,0.27400468384074944,0.18298969072164947,2.426168792385319e-05
534,taxa46255,73,90,0.17096018735362997,0.23195876288659795,8.771298455958131e-05
535,taxa46352,1,12,0.00234192037470726,0.030927835051546393,0
536,taxa467975,13,41,0.03044496487119438,0.1056701030927835,9.42746473402494e-06
537,taxa469,36,67,0.08430913348946135,0.17268041237113402,2.4554965521856032e-05
538,taxa46913,0,22,0.0,0.05670103092783505,0
539,taxa469322,0,27,0.0,0.06958762886597938,0
540,taxa47251,0,12,0.0,0.030927835051546393,0
541,taxa47420,0,15,0.0,0.03865979381443299,0
542,taxa47494,0,18,0.0,0.04639175257731959,0
543,taxa475,8,58,0.01873536299765808,0.14948453608247422,1.6096624450449855e-05
544,taxa475794,0,1,0.0,0.002577319587628866,0
545,taxa47670,13,33,0.03044496487119438,0.08505154639175258,5.087770161581434e-06
546,taxa48073,0,7,0.0,0.01804123711340206,0
547,taxa48075,0,52,0.0,0.13402061855670103,0
548,taxa482,32,84,0.07494145199063232,0.21649484536082475,2.202740479837756e-05
549,taxa48463,0,51,0.0,0.13144329896907217,0
550,taxa48736,3,38,0.00702576112412178,0.0979381443298969,1.4035214617246987e-05
551,taxa489140,0,8,0.0,0.020618556701030927,0
552,taxa490567,0,7,0.0,0.01804123711340206,0
553,taxa49082,1,21,0.00234192037470726,0.05412371134020619,0
554,taxa49184,36,21,0.08430913348946135,0.05412371134020619,3.313970990364216e-05
555,taxa497,4,51,0.00936768149882904,0.13144329896907217,8.812100005612186e-06
556,taxa49894,1,3,0.00234192037470726,0.007731958762886598,0
557,taxa499228,1,4,0.00234192037470726,0.010309278350515464,0
558,taxa50,0,2,0.0,0.005154639175257732,0
559,taxa501783,5,29,0.0117096018735363,0.07474226804123711,1.2100687884094676e-05
560,taxa504481,1,23,0.00234192037470726,0.059278350515463915,0
561,taxa507,0,32,0.0,0.08247422680412371,0
562,taxa50709,0,0,0.0,0.0,0
563,taxa511434,1,14,0.00234192037470726,0.03608247422680412,0
564,taxa511678,0,1,0.0,0.002577319587628866,0
565,taxa511745,0,19,0.0,0.04896907216494845,0
566,taxa51228,0,1,0.0,0.002577319587628866,0
567,taxa51366,0,18,0.0,0.04639175257731959,0
568,taxa51668,2,19,0.00468384074941452,0.04896907216494845,1.7578638935276513e-05
569,taxa517,1,21,0.00234192037470726,0.05412371134020619,0
570,taxa519427,12,24,0.02810304449648712,0.061855670103092786,1.9931297817231437e-05
571,taxa522,0,1,0.0,0.002577319587628866,0
572,taxa52225,209,168,0.4894613583138173,0.4329896907216495,0.00033289872315799294
573,taxa526215,0,2,0.0,0.005154639175257732,0
574,taxa52784,154,89,0.36065573770491804,0.22938144329896906,0.00018253716343971118
575,taxa528,0,17,0.0,0.04381443298969072,0
576,taxa52959,0,20,0.0,0.05154639175257732,0
577,taxa53,0,7,0.0,0.01804123711340206,0
578,taxa532,0,3,0.0,0.007731958762886598,0
579,taxa53246,0,44,0.0,0.1134020618556701,0
580,taxa53335,31,105,0.07259953161592506,0.2706185567010309,1.549196229685443e-05
581,taxa53452,0,1,0.0,0.002577319587628866,0
582,taxa53457,1,17,0.00234192037470726,0.04381443298969072,0
583,taxa53460,5,12,0.0117096018735363,0.030927835051546393,4.5125373611767375e-06
584,taxa53572,0,5,0.0,0.01288659793814433,0
585,taxa53634,2,12,0.00468384074941452,0.030927835051546393,2.658835457523237e-05
586,taxa538,1,4,0.00234192037470726,0.010309278350515464,0
587,taxa53945,0,0,0.0,0.0,0
588,taxa541,1,36,0.00234192037470726,0.09278350515463918,0
589,taxa54298,6,1,0.01405152224824356,0.002577319587628866,6.622549367012116e-06
590,taxa543311,25,52,0.0585480093676815,0.13402061855670103,1.964060518642033e-05
591,taxa544,18,50,0.04215456674473068,0.12886597938144329,6.833708653739161e-05
592,taxa545865,2,8,0.00468384074941452,0.020618556701030927,3.010556182650513e-06
593,taxa547,32,75,0.07494145199063232,0.19329896907216496,0.0006713528343774324
594,taxa55080,32,52,0.07494145199063232,0.13402061855670103,9.5043247927245e-06
595,taxa553372,131,21,0.30679156908665106,0.05412371134020619,3.436245277171e-05
596,taxa559173,74,3,0.17330210772833723,0.007731958762886598,4.43158677906033e-05
597,taxa55968,2,13,0.00468384074941452,0.03350515463917526,2.470573961240721e-05
598,taxa561,208,365,0.48711943793911006,0.9407216494845361,0.0008119073296721639
599,taxa568,0,0,0.0,0.0,0
600,taxa568987,0,3,0.0,0.007731958762886598,0
601,taxa570,87,188,0.20374707259953162,0.4845360824742268,0.00011716655613060626
602,taxa572511,427,387,1.0,0.9974226804123711,0.013860005604347015
603,taxa574697,215,125,0.5035128805620609,0.32216494845360827,0.0012480872720303786
604,taxa57493,6,37,0.01405152224824356,0.09536082474226804,2.0266248117357456e-05
605,taxa57494,1,7,0.00234192037470726,0.01804123711340206,0
606,taxa577309,85,187,0.1990632318501171,0.48195876288659795,0.00042423575716867625
607,taxa577310,277,223,0.6487119437939111,0.5747422680412371,0.0006596374808286239
608,taxa577469,0,7,0.0,0.01804123711340206,0
609,taxa579,52,35,0.12177985948477751,0.09020618556701031,3.2079156295390376e-05
610,taxa580596,0,9,0.0,0.023195876288659795,0
611,taxa581,1,30,0.00234192037470726,0.07731958762886598,0
612,taxa58108,0,5,0.0,0.01288659793814433,0
613,taxa58113,0,6,0.0,0.015463917525773196,0
614,taxa582472,0,0,0.0,0.0,0
615,taxa583,1,66,0.00234192037470726,0.17010309278350516,0
616,taxa586,3,39,0.00702576112412178,0.10051546391752578,5.944253716576973e-06
617,taxa588605,96,32,0.22482435597189696,0.08247422680412371,2.7602082353670295e-05
618,taxa590,50,66,0.117096018735363,0.17010309278350516,2.5201112294230607e-05
619,taxa59282,0,1,0.0,0.002577319587628866,0
620,taxa596495,0,1,0.0,0.002577319587628866,0
621,taxa596499,5,9,0.0117096018735363,0.023195876288659795,5.333739114773692e-06
622,taxa59732,2,40,0.00468384074941452,0.10309278350515463,6.8509790907702455e-06
623,taxa59734,0,14,0.0,0.03608247422680412,0
624,taxa59735,88,20,0.20608899297423888,0.05154639175257732,0.0001923024580620457
625,taxa59753,0,32,0.0,0.08247422680412371,0
626,taxa60136,0,0,0.0,0.0,0
627,taxa60892,0,12,0.0,0.030927835051546393,0
628,taxa60919,2,2,0.00468384074941452,0.005154639175257732,5.377344703777886e-06
629,taxa61170,279,288,0.6533957845433255,0.7422680412371134,0.0002937229939260293
630,taxa61434,15,62,0.0351288056206089,0.15979381443298968,3.516184135207622e-05
631,taxa620,44,91,0.10304449648711944,0.2345360824742268,1.5170933663945364e-05
632,taxa626,5,37,0.0117096018735363,0.09536082474226804,3.337680323752273e-05
633,taxa626119,0,0,0.0,0.0,0
