,taxa100175,taxa100883,taxa1017280,taxa102106,taxa114627,taxa117563,taxa118966,taxa1263,taxa1279,taxa1301,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa150022,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1573535,taxa1578,taxa162289,taxa1654,taxa1663,taxa1678,taxa1716,taxa1730,taxa189330,taxa2005359,taxa2039240,taxa2048137,taxa2057233,taxa207244,taxa2147,taxa216851,taxa239759,taxa239934,taxa244127,taxa253238,taxa264995,taxa283168,taxa28453,taxa286,taxa29465,taxa32207,taxa33042,taxa346096,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa420345,taxa44249,taxa44748,taxa459786,taxa469,taxa52784,taxa55080,taxa561,taxa572511,taxa577309,taxa577310,taxa590,taxa61170,taxa620,taxa644652,taxa698776,taxa724,taxa79206,taxa795750,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84111,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,condition
2643,,,,0.005729050216354358,,,,0.07678587301457379,,0.0015235919088510065,,,,,,0.0004254856574859125,,,,,,,,,,,,0.0016410563934353723,,0.03586587049296456,0.003937214227792357,,,,,,,0.03446735384826145,0.07498441585184655,0.33758546151551877,0.0028220196223129107,,,0.0005929228078836764,,,,,0.00279358689866046,,0.005355547619283533,0.020482905399302424,0.010824251734719244,,,,,,0.01671327192152224,,,,,0.026793246854773543,0.01480224825300299,,,0.0013817154898175669,,,,,,,0.13967618574150606,,,0.1400094804465431,0.03653662429185646,,,,0.008270619791731734,,,,H2029
2644,,,0.0001379300873233607,,,,,0.042940536859418336,,,,,,,,0.02046894335371147,,,,,,,,,,,,0.02438876252203922,,0.013535499771024216,,,,,,,,0.04898104591970835,0.2071828306521619,0.2042087501426659,0.015007030290631124,,,0.002203921524055244,,,,,,,0.014884609938448848,0.058527939071130256,0.06766447541339957,,0.0006380302494296917,,,,0.02205969756253265,,,,0.003994171181065147,0.0040087337568083005,,0.0008930529173219826,,,,,,,,,0.15438816581161854,,,,0.07789699357399707,,,,0.01598887940150892,,,,H2029
2645,,,,0.0021451549078689964,,,,0.0001459220117781357,,0.00012859377287948207,,,,,,0.004411607488028568,,,,,,,,,,,,0.00347841595576131,,0.0062351259616032564,,,,,,0.0003206230869902926,,0.04353167749006033,,,,,,,,,0.012265758437256321,,0.0008271954042673067,,0.011634747071046286,0.02775142793301977,,0.08328873760739582,,,,,0.034877184840121665,,,,0.003096789361069324,0.009126915163070381,,0.0023012103926872804,,0.0009449463609938301,,,,,,,0.7472210216871522,,,,0.006266945066949321,,,,,,,,H2029
2646,,,0.0010911715187342408,0.010183985988186576,,,,0.032009105482869435,,0.0011770351186346391,,,,,,0.0017842737579302419,,,,,,,,,,,,0.015886595861571547,,0.0037055069957016113,0.0011433934786736634,,,,,0.00019692323977156905,,0.03281481572193481,0.4046948527305539,0.002163199677490688,0.0018654922778360288,,,0.007529815431265412,,,,,,,0.0005741600393339743,0.08237458178444548,0.02758347032800317,0.04139779747197855,,,,,0.03524278495911837,,,,0.0063575661526252235,0.013344470264520411,,,,0.004844959194379847,,,,,,,0.21587938894957986,,,,0.0008197862390490479,,,,0.009809001348621558,0.001086667198739466,0.044439198788450526,,H2029
2647,,,0.0008789632961025918,0.024667433814005192,,,,0.08835153842997893,,0.0060531050907194055,,,,,,0.013053747853387596,,,,,,,,,,,,0.025537019417684378,,0.004555409463263866,0.001695017905531471,,,,,0.0005519162728361463,,0.016892154583444854,0.3495007355627494,0.00873707880973639,0.0012591505764350311,,,0.002232086165363884,,,,,,,0.0022977300123277577,0.07944175378477805,0.035640506160948555,0.011245220795814423,,,,,0.061312916012995926,,,,0.002730080706765419,0.01703164775824309,,,,0.010053277015080502,,,,,,,0.2040957071659246,,,,0.0038620463297079437,,,,0.01302112129849781,0.0002635522308162695,0.015039083486860488,,H2029
2648,,,4.475122451866458e-05,0.010911741847543089,,,,0.010437426098489062,,0.0004253137485916353,,,,,,0.00035812787325886455,,,,,,,,,,,,0.004160092723592586,,0.000910374514614522,0.0006668995147266952,,,,,,,0.013370461499659586,0.30959700046357075,5.136354265334852e-05,6.494241025136019e-05,,,0.009004796528344058,,,,,,,0.001071904000476087,0.07072157630107397,0.03441841473923497,0.000641158704845247,,,,,0.028571000120202503,,,,0.011314620945320616,0.019562188970133815,,3.258928223522803e-05,,0.0033228079397882313,,,,,,,0.44780507641832457,,,0.0005275685254601407,0.0010014119660759742,,,,0.00536837578559653,0.0003993367844910912,0.015238677526926895,,H2029
2649,,,,,,,,0.036994678969799896,,0.004949106782214577,,,,,,,,,,,,,,,,,,0.0037324557721179078,,0.06249106716106611,0.0007441112676400845,,,,,,,0.07957680324352126,0.18513800368485803,0.009926375558033869,,,,0.002530216298654637,,0.0028567896517234016,0.0029390279616864673,,0.09215212500751978,,,0.02268270093351059,,,0.07521209088258762,,,,0.0072364424130200965,,,,,0.0031508378854177067,,,,0.00044001462308212536,,,,0.029769739342900035,,,0.3528658133891109,,,,0.024462195167904318,0.0001494040036306495,,,,,,,H2029
2650,,,,,,,,0.010533311775088417,,0.008010803916854568,,,,,,,,,,,,,,,,,,0.011200345447126895,,0.04726532495975037,0.0015311344970036012,,,,,0.0005738131805805294,,0.06280706461592857,0.11479837868796024,0.0002404170964932311,,,,0.003550469054842026,,,0.03563087631729792,0.00028437079971951743,0.08425936983672286,,,0.025430839874364862,,,0.07080663860311266,,,,0.007289069619647112,,,,,0.006163782365895018,,,,0.000336777138181628,,,,0.02492102521771272,,,0.452464734096397,,,,0.0319014528993203,,,,,,,,H2029
2651,,,,,,,,0.02084158487656424,,0.0034536692240772593,,0.0005810331950517557,,,,,,,,,,,,,,,,0.009708320676693217,,0.041127852799355734,0.0008411628664509433,,,,,,,0.04790847831505429,0.19108705848840374,0.06463645367318041,,,,0.008729564929552883,,,0.002729108631117883,,0.029716765274897826,,0.00027848271538890646,0.023920830023557833,,,0.025372259077283677,,,,0.010263967325866976,,,,,0.0036536844340250927,,,,0.000448165948443552,,,,0.008313489333474589,,,0.4962377358805747,,,,0.010150332310984528,,,,,,,,H2029
2652,,,,0.002125273675748899,,,,0.004788336637230422,,0.0005057231280096735,,,,,,,,,,,,,,,,,,2.6197841276920506e-05,,0.045654558827828935,0.0010310422412944833,,,,,,,0.06791853225860706,0.09250269130423437,,,,,0.019182897713882055,,,0.0026053229193071905,,,,,0.049228573126191534,,,0.11415552149370449,,,,0.0029665387548333706,,,,,0.0025660261573918096,,,,,,0.00019910359370459586,,,,,0.5630303818461115,,,,0.03151327848064257,,,,,,,,H2029
