,taxa100883,taxa1016,taxa1017280,taxa102106,taxa114627,taxa117563,taxa118966,taxa123375,taxa1236988,taxa1243,taxa1263,taxa1279,taxa1301,taxa133925,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1573,taxa1573535,taxa1578,taxa162289,taxa1649459,taxa1654,taxa1663,taxa166484,taxa1678,taxa1716,taxa1730,taxa1849822,taxa1849828,taxa1870884,taxa189330,taxa2005359,taxa2039240,taxa204475,taxa2048137,taxa2057233,taxa207244,taxa212791,taxa2132,taxa2147,taxa216851,taxa2172,taxa237,taxa239759,taxa239934,taxa241189,taxa244127,taxa264995,taxa278993,taxa283168,taxa28453,taxa286,taxa292632,taxa29465,taxa32207,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa44249,taxa447020,taxa44748,taxa459786,taxa46123,taxa46205,taxa46255,taxa52225,taxa559173,taxa561,taxa570,taxa572511,taxa574697,taxa577309,taxa577310,taxa579,taxa588605,taxa61170,taxa644652,taxa698776,taxa724,taxa762551,taxa79206,taxa816,taxa830,taxa836,taxa83660,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,taxa1647,condition
800,,,,,,,,,,,0.060028294071558214,,,,,,,,,0.2101015590832434,,,,,,,,,,,,,,,,,0.22505919545203526,,,,0.02605759396246972,,,,,,,,,,0.004378191871584001,0.010214199888202474,,0.004242107949440871,,,,,,,,,0.10747151329221583,0.00038369130642989683,,0.009877837536878901,,0.005859198150523575,0.015922451348943736,0.010840649732738976,,,,,,,,,,,,,0.027956444290499434,,0.002555131117544148,,,,,,,,,,0.22850293033694316,0.0035449281964937992,,,,0.047004082412254594,,,,,,,,,,,UC
801,,,7.827065176507827e-06,0.00595886266095341,,1.9728493047636164e-05,,,,,0.023644277257379206,,0.0017564792016650848,7.709123098505653e-05,,,,,,0.11498816504857284,,,,,,,,,,,,,,,0.04258952768701003,,0.1297770294293362,,,,0.021835260220967705,,,,,,0.0021918999096349244,,,,0.0727850584971263,0.017830805012581205,,0.039433076019459154,,,0.001602189519624061,,,0.013418591874519924,,,0.20793402791924873,8.416775566518689e-05,5.468223616464372e-05,0.02367472775751795,0.0017945423268385134,0.06028491375003056,0.015189974666041647,0.04003983440074488,0.005695422946724919,,,,0.0008621565901958825,,,,0.005881449769755619,,0.00015890014509019996,0.0009931795168492054,0.018110971057871822,2.2623434962234955e-05,0.006738138136335038,0.0005825266452598221,,,0.00022794987075692655,,,1.0507566949284477e-05,,,0.11530017545492405,0.0002620458533066456,,,,0.008085679987545318,,,9.55330831817599e-05,,,,,,,,UC
802,,,,,,,,,,,0.0020890833357294684,,0.006472913454257897,,,,,,,0.00021755751503589181,,,,,,,,,,,,,,,0.0003441196363094255,,0.20573157813842596,,,,0.01647455437373171,,,,,,,,,,0.0028282476954665935,0.02055814588339957,,0.009202544314352596,,,0.0007405500763934046,,,0.013060379485434906,,,0.03227253259003492,,,0.017155172204741026,,0.043978258567568526,0.0025045673798372915,0.04259508239182548,0.0014106595560925978,,,,0.0003845363721175795,,,,,,,,0.014449444956967148,,0.0010122660174122227,,,,,,,,,,0.19397723660153451,,,,0.35602871620626814,0.016511853247063234,,,,,,,,,,,UC
803,,,,,,,,,,,,,0.005940996293127136,,,,,,,,,,,,,,,,,,,,,,,,0.24609259874678838,,,,0.01608372293507752,,,,,,,,,,,0.07112885482086487,,0.0015409810798918493,,,,,,0.006369046593097095,,,0.030443706542389162,,,0.02469088144602086,,0.038441480965721364,0.0007646502529912596,0.05192143304118129,,,,,,,,,,,,,0.03916624633219296,,,,,,,,,,,,0.2586947984267692,,,,0.1895586210256313,0.01916198149825582,,,,,,,,,,,UC
804,,,0.0002160225676009053,0.014621531464856109,,0.0001384732546041553,,7.068464351985928e-05,,,0.008308502536709894,,0.013396187963231113,5.245036522186827e-05,,0.0162699102229945,1.9843185206637278e-05,,,0.004987825937724577,,,,,,,,,0.00034419881798972444,,,,,,0.0545042957814461,,0.08222147139899817,,,,0.047345303600733656,,,,,,0.0011161523527582027,,,,0.020701805193551505,0.07029893490362649,,0.0833585395415688,0.09310325964539692,,0.0028162306528944237,,,0.05280775707650888,,,0.136864347695509,,,0.029765635893640528,0.00566174341152621,0.03392272956420075,0.00904280764981605,0.006456650684858041,0.0020046980081732473,,0.000664800334652637,,0.0030628224517596082,,,,0.00025420729156611,,0.0004902875652948054,0.000299149424547629,0.05116924628074353,1.2334952966288037e-05,0.004047473479851123,0.00013954585920991945,,,0.000677135287618925,0.00010640237689180638,,0.0004500648925786488,,,0.1253306303697268,8.41994615524879e-05,,,0.0040704272184144755,0.017064066673102295,,,0.0002950735270457252,,,0.0013641385376108805,,,,,UC
805,,,,0.0012277923645724225,,,,,,,,,0.00043806842487276615,,,,,,,0.051395418400374815,,,,,,,,,,,,,,,0.008416467341602242,,0.30690198996280815,,,,0.00992472642165855,,,,,,,,,,0.08252593727451968,0.0002266462677878188,,0.0012080653478870114,,,0.0020814146844052575,,,0.0007679598941173823,,,0.019005372395685362,,,0.006411602058900156,,0.008277949376615554,0.0014521871793689715,,,,,,0.0024226706306534253,,,,0.003959769751407427,,,,0.01597588157786114,,0.011650518745490392,,,,,,,0.00037974507119416,,,0.016498111459788512,,,,0.4130086809594621,0.03215793192249427,,,,,,,0.002692094505275369,0.0009929979811971513,,,UC
806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5217587025925641,,,,0.01592725075775973,,,,,,,,,,0.02370391988881703,,,,,,,,,,,,0.0257358844532849,,,0.004768461256386908,,0.009729263445153487,0.0009319812031431479,,,,,,,,,,0.0031147169352098597,,,,0.02893427938651212,,0.008275506308427192,,,,,,,,,,0.026544233298996994,,,,0.28653306546322554,0.04404273501051899,,,,,,,,,,,UC
807,,,,0.004506867521660774,,4.2662424200835726e-05,,2.934452458258543e-06,,,0.01902484533178274,,0.004553254443212476,,,,,,,0.05468532737654532,,,,,,,,,6.828245143255454e-05,,,,,,0.009901971229725191,,0.3029709299595858,,,,0.019278224015197753,,,,,,0.00021218348544331002,,,,0.13338215058345942,0.00445980341877255,,0.0033313935850160536,,,0.0007022370459724866,,,0.004139045192373674,,,0.01884595659538505,6.613804386690407e-05,,0.01813130455824301,,0.01166715724692379,0.0016357315183669638,,,,,,0.0011767154357616753,,,,0.011710835443129411,,,,0.02675520887884052,,0.010290108999107924,4.875705622952655e-05,,,0.0002722268972815232,,,0.0028801650877807597,,,0.017654230306663826,,,,0.30354314818894623,0.011368746004630115,,,,0.00045540444881050836,,0.000612623382439514,0.0016234293907534951,,,,UC
808,,,,0.0008264189255991483,,,,,,,6.0034359124021904e-05,,0.0005869305092016988,,,,,,,0.00021190506220533132,,,,,,,,,0.0008124649934784297,,,,,,0.0018399719796389413,,0.00933691130902378,,,,0.0033778251033618587,,,,,,,,,,0.04689062042643649,,,0.03043428314540235,,,,,,0.00041256044270093604,,,0.0017171990109799056,0.0014988037477881933,,0.0016603015823326347,,0.02818369778335839,0.014202939498562746,,0.008052284193786152,,,,0.0017990837134247426,,,,,,0.00011357851726166306,,0.005255332078705368,,0.013200636126232679,,,,5.74382787294696e-05,,,0.0003363005811109623,,,0.16070386662377364,,,,0.5851662562335675,0.014719992177144411,,,,,,,0.06854236359706842,,,,UC
809,,,,,,,,,,,,,0.00010176988738071571,,,,,,,,,,,,,,,,,,,,,,,,0.013512518177202972,,,,0.0068884958015110916,,,,,,,,,,0.013308123193303883,,,0.01045963535806591,,,,,,,,,0.0020501501052388295,0.0020366805613207936,,0.0008180075401651646,,0.0360254711213513,0.016999633435983375,,0.0015358487100827127,,,,,,,,,,,,0.003600964975230471,,0.007602274728024786,,,,,,,5.6978308796135996e-05,,,0.22068244192568726,0.0013076147714715489,,,0.6104846288451139,0.01614870034401857,,,,,,,0.0363800622100507,,,,UC
