,taxa100175,taxa100883,taxa1017280,taxa102106,taxa114627,taxa117563,taxa123375,taxa1243,taxa1263,taxa1279,taxa1301,taxa133925,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa1486726,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1573,taxa1573535,taxa1578,taxa162289,taxa1637257,taxa1654,taxa1663,taxa1678,taxa1716,taxa1730,taxa189330,taxa2005359,taxa2039240,taxa204475,taxa2048137,taxa2057233,taxa207244,taxa2132,taxa2147,taxa216851,taxa2172,taxa2282742,taxa237,taxa239759,taxa239934,taxa241189,taxa244127,taxa246875,taxa264995,taxa278993,taxa283168,taxa28453,taxa286,taxa292632,taxa29465,taxa32207,taxa33042,taxa33986,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa44249,taxa44261,taxa447020,taxa44748,taxa459786,taxa46123,taxa46205,taxa46255,taxa52225,taxa52784,taxa561,taxa570,taxa572511,taxa574697,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa79206,taxa816,taxa830,taxa836,taxa83660,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,taxa184869,condition
2642,,,,0.0070556835645532254,,,,,0.04853007465987928,,2.253843589544682e-05,,,,,,,0.0016605061608552447,,,,,,,,,,,,,,,0.05878820789033951,,0.035298859659973626,0.0017002367059918695,,,,,,,,,0.008918406668861107,,,,0.0519025584793789,0.07483012309130897,,0.001859473376341561,,,,0.0009218744430909736,,,0.022539379364856397,0.00036679994045659726,,0.0011131890733662782,,0.007203703431922393,0.05088528879598628,0.053707939609571397,0.1914320398018295,,,,6.677666821116104e-05,,0.054924910317991134,,,,,,0.0004056918461180427,,0.0013293483980937723,,,,0.0015829320094011487,0.00027035640081096436,,,0.3178129121126796,,,,3.9416055333432575e-05,0.004830773036902234,,,,,,,,,,,H2029
2643,,,,0.004283374834700446,,,,,0.05740963400743665,,0.0011391269048569214,,,,,,,0.00031811809793506673,,,,,,,,,,,,,,,0.001226950260952394,,0.026815433848989566,0.002943692881938462,,,,,,,,,0.025769820566576604,0.025931724748718375,,,0.056062758699102044,0.2523987425155551,,0.0021099078166115196,,,,0.0004433039576017181,,,0.22614514194584137,,,0.002088649840441711,,0.004004122329560687,0.015314224560026997,0.008092847109736572,,,,,,,0.012495824901271196,,,,,,,,0.020032206907532418,,0.011067031230221626,,0.0010330517510398962,,,,0.10443013002473334,,,,0.10467932074539052,0.027316928832268238,6.688747047369105e-05,,0.00019744150594079913,,,0.006183601704546125,,,,,H2029
2644,,,0.00012641519916524737,,,,,,0.03935571001720549,,,,,,,,,0.01876012406702328,,,,,,,,,,,,,,,0.022352702963128867,,0.01240550870778275,,,,,,,,,,0.04489193616433933,,,,0.18988648023625865,0.18716068641391442,,0.013754190690980052,,,,0.002019930414129682,,,0.08042643481793607,,,,,0.013641990419789612,0.05364182114278473,0.06201560733985094,,0.0005847652431772687,,,0.0018707279258445187,,0.020218076527095608,,,,,,0.0036607237416641926,,0.003674070582434429,,,0.0008184977230072624,,,,,0.14149929945362594,,,,,0.07139387894350316,,,0.0011863496759430465,,,0.014654071589415587,,,,,H2029
2645,,,,0.002132673466223536,,,,,0.00014507297422466304,,0.0001278455585354843,,,,,,,0.004385938842271324,,,,,,,,,,,,,,,0.0034581770230804054,,0.006198847294474665,,,,,,,0.00031875756281030126,,,0.04327839130996766,,,,,,,,,,,,,,0.0058184337176188814,0.012194390934792822,,0.0008223824226360586,,0.011567051066392145,0.027589958089022225,,0.08280412760820305,,,,,,0.03467425425187228,,,,,,0.003078770897434516,,0.009073810812147727,,,0.0022878209525471344,0.0009394482532256826,,,,0.7428733657000542,,,,,0.00623048126246532,,,,,,,,,,,H2029
2646,,,0.0008157404228107203,0.007613366820221313,,,,,0.02392943803250818,,0.0008799305231608931,,,,,,,0.001333891331211131,,,,,,,,,,,,,,,0.01187653655052713,,0.0027701711339644234,0.0008547806313843498,,,,,,0.0001472163121145766,,,0.02453177267907275,,,,0.302542675104543,0.001617169610133533,,0.0013946088523620326,,,,0.0056291561116920364,,,0.25217133537401726,,,,,0.000429231834964516,0.061581772452828955,0.020620911892983942,0.030948257201945103,,,,,,0.02634687930356477,,,,,,0.004752803397403122,,0.009976088661471195,,,,0.003622005334513028,,,,0.16138759213778603,,,,,0.0006128576138350922,0.0002464478934755814,,,,,0.007333034972134656,0.0008123730732841539,0.03322195474008639,,,H2029
2647,,,0.00046195954634935927,0.012964541960794945,,,,,0.04643520018794639,,0.0031813497720698377,,,,,,,0.006860699944182884,,,,,,,,,,,,,,,0.013421572843391301,,0.002394201098517006,0.0008908559733556439,,,,,,0.0002900723979633119,,,0.008878063626584718,,,,0.18368821765964866,0.004591974410377795,,0.000661775789335768,,,,0.0011731246537100312,,,0.47352137006995015,,,,,0.0012076252999810655,0.04175245622011741,0.018731694634779857,0.005910186603316909,,,,,,0.03222442506110517,,,,,,0.0014348572350935645,,0.008951377499910668,,,,0.00528373290421101,,,,0.10726723255940991,,,,,0.0020297880222792035,0.0009054366036249501,,,,,0.00684355230154222,0.0001385159875584098,0.007904139132891973,,,H2029
2648,,,4.11404434874678e-05,0.010031321012041884,,,,,0.009595275731067852,,0.00039099703810516884,,,,,,,0.000329232097882559,,,,,,,,,,,,,,,0.0038244329945922566,,0.0008369203675155059,0.000613090302947805,,,,,,,,,0.01229165730423065,,,,0.28461696944513376,4.721924252519391e-05,,5.970249054909574e-05,,,,0.0082782387895548,,,0.0805475608493211,,,,,0.0009854167440085295,0.06501536090806838,0.03164134304117539,0.0005894264066937998,,,,,,0.026265730792134817,,,,,,0.01040169355341191,,0.017983801303164255,,,2.9959795257364412e-05,0.003054705066440188,,,,0.411673638832063,,,,0.00048500132322429064,0.0009206124042670565,0.000138075578142636,,,,,0.004935224968753888,0.00036711604188553054,0.014009135132353908,,,H2029
2649,,,,,,,,,0.03370969531582155,,0.004509645342512937,,,,,,,,,,,,,,,,,,,,,,0.003401028211667563,,0.056942103367885355,0.0006780370802431826,,,,,,,,,0.07251069251705124,,,,0.1686984687903556,0.009044952003094778,,,,,,0.002305542929035854,,0.002603117838097805,0.08874792164406886,0.0026780537058858755,,0.08396937460235498,,,0.020668565282935307,,,0.068533549643386,,,4.819026867400019e-05,,0.006593874462663445,,,,,,,,0.002871055731925246,,,,0.0004009430353676816,,0.0271263022365947,,0.32153270113323035,,,,,0.02229004734814373,,0.0001361375090040505,,,,,,,,,H2029
2650,,,,,,,,,0.010063491678938725,,0.007653495907102682,,,,,,,,,,,,,,,,,,,,,,0.010700773471357217,,0.045157137146525785,0.0014628408993241282,,,,,,0.0005482192392419761,,,0.06000566447067483,,,,0.10967799618484633,0.00022969370903425391,,,,,,0.0033921065428097275,,,0.044603264973209135,0.03404162289968984,0.00027168693358898437,0.08050112683741988,,,0.02429654138495731,,,0.06764843133963577,,,,,0.006963953315993822,,,,,,,,0.0058888575477918075,,,,0.0003217557782503938,,0.02380946612652305,,0.4322833296704628,,,,,0.030478543942621564,,,,,,,,,,,H2029
2651,,,,,,,,,0.019165193734759074,,0.0031758736280005618,,,0.0005342978384534772,,,,,,,,,,,,,,,,,,,0.008927432712529168,,0.03781973738862058,0.0007735040014229079,,,,,,,,,0.0440549638563227,,,,0.1757169868714522,0.0594374259112724,,,,,,0.008027403102302827,,,0.08043491662144285,0.0025095930059230564,,0.027326499737752433,,0.0002560829813960868,0.021996760055097254,,,0.023331443533904723,,,,,0.009438385969805653,,,,,,,,0.003359800631213221,,,,0.0004121177577479251,,0.007644794512103307,,0.45632289497060713,,,,,0.00933389117787055,,,,,,,,,,,H2029
2652,,,,0.00204228612790163,,,,,0.0046013619805895705,,0.0004859756842982727,,,,,,,,,,,,,,,,,,,,,,2.5174869679769616e-05,,0.043871842593019635,0.0009907821711170129,,,,,,,,,0.06526645384167504,,,,0.08889065224864957,,,,,,,0.018433845175357063,,,0.03749494740365527,0.0025035904399137287,,,,,0.047306299014212516,,,0.10969798413741531,,,0.001552987360805628,,0.0028507015430583923,,,,,,,,0.002465828135394074,,,,,0.0001913290095662491,,,0.5410452082253752,,,,,0.030282750038316156,,,,,,,,,,,H2029
2653,,,,0.008542186715382994,,,,,,,0.002465032177596218,,,,,,,0.00046590441043048295,,,,,,,,,,,,,,,0.004664496821722091,,0.03220910080751716,0.0021249441727566286,,,,,,,,,0.009352016228094845,,,,0.23206260446624005,,,,,,,0.00730300619418601,,,0.06573573970504232,,,,,0.0031332929899561958,0.057928256173511126,0.11591669419110906,0.161708413108777,0.002825012503383966,,,,,0.05632778263529631,,,,,,,0.0009654339116007473,0.0017681950869198498,,,,0.00034786317597161116,,,,0.2309124849961917,,,,,0.002498455315839064,,0.0006908794920167674,5.2204720457858625e-05,,,,,,,,H2029
2654,,,5.5215568936486667e-05,0.005648512398867597,,,,,0.002667274709647217,,5.7835285710845524e-05,,,0.00010650156271143507,,,,0.0013066341203802174,,,,,,,,,,,,,,,0.057609687793238246,,0.06170269297816153,0.003078267968209132,,,,,,,,,0.05161698491355488,0.0007460147306674221,,,0.1754807205470533,,,0.0024718035349450564,,,,0.006864665532194958,,,0.14663159336111373,,,0.0001780399823189269,,0.02104106133996296,0.03390286311869019,,,,,,0.00203511690032693,,0.01432440980551928,,,,,,,,0.0011700058147636556,,,1.984939248264211e-05,,0.0006318555343078612,,,0.40363991509296415,,,,,0.006854690456784901,,0.00015778755648638348,,,,,,,,,H2029
