,taxa102106,taxa1263,taxa1301,taxa1485,taxa1654,taxa1678,taxa1730,taxa189330,taxa216851,taxa239759,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa40544,taxa459786,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa872,condition
2642,0.009644956796451661,0.06633949342266854,3.080952234922752e-05,0.002269873646566344,,0.08036212509468557,0.048252727502528535,0.002324184385963354,0.012191256343537354,0.07094960106684062,0.0012601811141353804,0.03081081205016307,0.0005014070637206842,0.0015217038038439399,0.009847296543228915,0.06955901685811085,0.07341751545706572,,0.07508108636382008,0.0005545714022860953,,0.0018171886181886237,,,0.002163831569643421,,0.43444292514489796,5.388083908516069e-05,0.0066035553902190815,,,H2029
2643,0.005954960165680914,0.07981372091721552,0.0015836707278392447,0.0004422635595275855,,0.001705767113830998,0.037280146276843854,0.004092467862007202,0.03582648282553128,0.07794122805380897,0.0006163031512957815,0.3143981939287647,,0.0029037446125715996,0.005566729481127675,0.021290594622833368,0.01125107748568017,,0.017372315614679928,,,0.02784976771087934,0.015385935779987684,,0.001436199787301528,,0.14518394686269753,0.1455303841632927,0.03797734947851559,,0.008596749818086832,H2029
2644,,0.0494479575479068,,0.023570907958567706,,0.028084755851655447,0.015586736147675957,,0.056403875135962143,0.2385803383940747,0.002537914658989617,0.10105072257286601,,,0.01714029712211521,0.0673975515497299,0.07791868366008331,0.0007347204994517886,0.025402732903944257,0.00459946757645306,,0.004616237036730026,,0.001028390559911828,,,0.17778490972167876,,0.0897018880776227,,0.018411913024580756,H2029
2645,0.002326018865266712,0.00015822510113770445,0.00013943587037760203,0.004783562345854141,,0.0037716908483700295,0.006760826717363162,,0.0472019539041934,,,0.0063459253410465145,0.013299918536048625,0.000896938542074362,0.01261570485217051,0.030091227758660143,,,0.03781777698567559,0.0033578882574779494,,0.009896430683451128,,0.0024952318206500905,0.001024617408409093,,0.8102212975820788,,0.006795328579694578,,,H2029
2646,0.00817941302225863,0.025708567796650414,0.0009453524767398296,0.0014330648164499016,,0.01275954515454286,0.002976130584809377,0.00091833271568496,0.02635568542124486,0.3250364201507273,0.006047678233762311,0.27092002173338436,,,0.00046114479222934287,0.06616031559080914,0.02215405605051587,,0.028305743406330405,0.005106169572402673,,0.010717800867300413,,,0.003891297805475357,,0.17338659806285273,,0.0006584229639479512,,0.00787823878188134,H2029
2647,0.013240798787384824,0.04742467139987042,0.0032491400260535237,0.007006892166052102,,0.013707568378966152,0.002445218280589033,0.0009098389073375844,0.009067243135676526,0.1876023647422112,0.0011981223508911827,0.4836114690039193,,,0.001233358159197479,0.04264214450163038,0.01913084167229985,,0.03291108390589774,0.0014654320990243664,,0.009142119228327408,,,0.005396322094718466,,0.10955295197422246,,0.0020730400553537766,,0.006989379130376055,H2029
2648,0.010186686473010279,0.009743887707026614,0.0003970528143074819,0.00033433125646712737,,0.0038836659504945035,0.0008498826202972475,0.0006225858676314985,0.012482030935065995,0.28902512731429053,0.008406452449949246,0.08179508437151843,,,0.0010006789140153583,0.06602232115840657,0.03213140530130544,,0.02667253537622629,0.010562795357634687,,0.01826233506517586,,3.0423813644882013e-05,0.0031020164484805244,,0.4180496549708048,0.0004925130411787423,0.0009348708823269723,,0.005011661910741162,H2029
2649,,0.034108638827541976,0.004563015559380824,,,0.003441278297748468,0.057615995032271584,0.0006860614332174416,0.07336883347735992,0.170694961459024,0.002332828295572527,0.08979822504155927,0.0027097476188682502,0.08496312541697919,,0.02091317117269329,,0.06934462238400985,0.006671910867600749,,,0.002905033762438673,,,0.00040568806854080424,0.02744733338721378,0.325337938282996,,0.022553842961903235,0.00013774865308026102,,H2029
2650,,0.01007406541681011,0.007661537455911312,,,0.010712016802928107,0.04520458387241803,0.001464377910205686,0.06006871258430711,0.10979323515149093,0.003395670638310551,0.04465012974411382,0.034077390524758895,0.08058570958868418,,0.024322069826574,,0.06771950972904735,0.006971270360540696,,,0.005895044986313032,,,0.000322093847915115,0.02383448279685094,0.4327375309318074,,0.030510567831012636,,,H2029
2651,,0.020387890682616563,0.0033784873372841116,,,0.009496983163251484,0.04023255293923883,0.0008228518449555334,0.046865573057074145,0.18692734177356718,0.008539533655651016,0.08556648630006505,0.002669699485991738,0.02906986994769612,0.0002724205088995716,0.023400104667958745,,0.02481993799907029,0.010040534107606745,,,0.0035741484762727544,,,0.00043840995867894765,0.00813251548410651,0.4854352858308224,,0.00992937277919232,,,H2029
