,taxa100883,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa1378,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa32207,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa447020,taxa459786,taxa46255,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa946234,condition
2654,,0.005649143639805926,,0.002667572786888021,5.784174900550483e-05,,,0.00010651346463208819,,0.001306780141295099,,0.05761612587654435,0.06170958846905587,0.00307861197537836,,0.05162275329143737,0.17550033112889765,,0.002472079767601123,0.006865432682482657,0.14664797995249318,,,0.00017805987890718997,0.021043412751868572,0.03390665188175131,,,0.0020353443317302905,0.014326010608217078,,,0.0011701365669894116,,1.9851610721401487e-05,,0.000631926146365019,,0.4036850232596385,,0.006855456492323172,0.00015780518979550625,,,0.0006895663561753826,H2029
2655,,0.013324699421821804,,0.01258179795127008,0.0024241834645394003,,,,,0.000985198212618178,,0.1242888043400606,0.05672712938149474,0.010314484146588008,,0.02452527420522666,0.2048800854068148,,0.001624127931869115,0.009988584388124722,0.05623929311369554,4.104148077662641e-05,,0.0007741132633398745,0.024867691892990165,0.08217426618085714,,,0.003563920586254752,0.015107217068391828,,0.0009704030121406779,0.010473279209247201,,1.9254028018664245e-05,,0.0009573305404859007,,0.3367043082914431,,0.00575857576941376,0.0004174070600467264,,0.00013619691398465656,0.00013133273848520453,H2029
2656,,0.0010352510406408243,,0.013494779956029684,,,,,,0.0003820814920818665,,0.0015256439708128528,0.038490584177225576,0.00045614588498542487,,0.0858385683002129,0.23112938812186629,0.05591975133344275,0.0005512536430036433,0.0032527472164734068,0.20926182454021539,0.00014183640702283113,,2.712943639782152e-05,0.0011839987489513132,0.16142117810454365,0.016181728850670197,,0.000968304256526048,0.003856402964762576,,0.0005867385331969916,0.003891784701205362,,7.633377541592367e-05,,0.0001559684708498332,,0.13374399529123762,,0.02993851933312751,,0.003549933171842699,0.002938128277259127,,H2029
2657,,0.0005838571812583696,,0.019715712313981587,,,,0.0002186638651386502,,,,0.0025074415587938636,0.03144659710525213,0.00010953744372077118,,0.03555342920017527,0.29072224017019616,0.09695132427275768,0.0007777569526477646,0.007224539017936193,0.26089332409355204,0.0018486755628333905,,,0.004687709364485536,0.12247745337157485,0.009851279800144518,,0.0009219230253872038,0.006535871149440313,,,0.0025694031709548627,,0.0002440444923422435,,,0.000986350771365556,0.07714806420826008,,0.012065662456976241,,0.007278896717493685,0.006680242733331197,,H2029
2658,,0.00035751250651319325,,8.470106537287844e-05,0.0007109133108238195,0.003984136641732276,,,,9.025186334634378e-05,,0.005933597448524315,0.0031210903494134808,0.0007796815301617511,,0.04596852224703291,0.16523800434010724,,,0.029203776063951768,0.027147205414782865,0.002171287140620524,,,0.00012664042783906097,0.07118518068515554,0.022041293619635267,,,0.010044477310650715,,0.006650472727541857,0.00032472168144772207,,2.487579832552983e-05,,,0.0009200961603794114,0.5940566783757666,,0.00951221746052843,,,,0.00032266583034643855,H2029
2659,,0.0036824398585740417,,0.014390538320250066,0.0013527862329504598,,,,,,,,0.1149991244704909,0.00796005350044149,0.002453531737013289,0.15341177084225938,,,,,0.025558196632750763,0.0008943440793714071,0.0008736666803274107,0.00696846976070102,,0.0015476381194371276,,,,0.00017268422444850957,,0.296962844017898,0.004889366600970906,,,,,0.003753227350796731,,0.32127275911016395,0.038856558461154427,,,,,H2029
2660,,0.002896472695890971,,0.03793137697493078,0.002009436187655505,,,,,,0.01602067709044629,,0.04691929156477942,0.006226029476133354,,0.21874114251253218,,,,,0.04679527023046835,0.0002661373680903013,,0.006132914416826327,0.0002524012458662857,0.0011140787592266456,,,,4.226499145850938e-05,,0.044147764749887665,0.03749802873438275,,,,,0.0007112405593877281,0.00833161851935697,0.5221681200980864,0.0012976673158745459,,,0.0004980665087188714,,H2029
2661,,0.005120792703542144,,0.029451028984012098,0.0022474494333121708,,,,,,,,0.07865616969488108,0.03781357706462694,0.00028558409218955246,0.18623607931620548,,,,,0.037872123652365405,0.005249471940592594,0.00048045178737802136,0.016278786278701236,,0.0014106646245616865,,,,0.00047724713204917865,,0.0013947646038916597,0.02852796499333124,,,,,0.000819405716390222,,0.5252639619129179,0.04219199903564526,,8.775825362061344e-05,0.00013471877978557653,,H2029
2662,,0.0007510981653541147,,0.008847218785063756,0.00016184002899028623,,,,,,,,0.2907646361433987,0.014046803962945241,,0.13050831969400198,,,,,0.0060142052836162484,7.338626900631195e-05,,0.0039684952855555105,,0.00022774675211560035,,,,,,0.0012729319895732959,0.008015146405606665,,,,,0.0020744357902123963,,0.5026092233207037,0.03066451212385607,,,,,H2029
2663,,0.017616305119388633,,0.44546501071468725,,,,,,,,,0.03721696696318745,0.00993003429483038,,0.2083001208793483,,,0.012087095779962668,,0.10617511116033547,,,,,,,,,,,0.017557012148905902,0.001398698798981727,,,,,,,0.14109069978570624,0.0031629443546659372,,,,,H2029
