,taxa,genus,family,order,class
232,194,Campylobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
269,209,Helicobacter,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
1243,843,Wolinella,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
364,28196,Arcobacter,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
1180,57665,Sulfurospirillum,Campylobacteraceae,Campylobacterales,Epsilonproteobacteria
227,191291,Nautilia,Nautiliaceae,Nautiliales,Epsilonproteobacteria
247,202746,Sulfurimonas,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
1002,269260,Nitratifractor,unclassified Campylobacterales,Campylobacterales,Epsilonproteobacteria
1027,286130,Sulfuricurvum,Helicobacteraceae,Campylobacterales,Epsilonproteobacteria
889,1647,Erysipelothrix,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
629,61170,Holdemania,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
2,100883,Coprobacillus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
42,118747,Bulleidia,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
56,123375,Solobacterium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
85,135858,Catenibacterium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
189,174708,Allobaculum,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
228,191303,Turicibacter,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
67,1279384,Eggerthia,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
68,1279388,Kandleria,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
113,1505663,Erysipelatoclostridium,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
136,1573534,Faecalitalea,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
137,1573535,Holdemanella,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
138,1573536,Faecalicoccus,Erysipelotrichaceae,Erysipelotrichales,Erysipelotrichia
1515,379546,Aciduliprofundum,DHVE2 group,unclassified Euryarchaeota,Euryarchaeota
707,832,Fibrobacter,Fibrobacteraceae,Fibrobacterales,Fibrobacteria
169,165812,Sporanaerobacter,Tissierellales,Tissierellia,Firmicutes
1025,285105,Tepidimicrobium,unclassified Tissierellia,Tissierellia,Firmicutes
524,448125,Dethiosulfatibacter,unclassified Tissierellia,Tissierellia,Firmicutes
305,237,Flavobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
774,1013,Weeksella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
5,1016,Capnocytophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
367,28250,Ornithobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
437,34084,Riemerella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
438,34098,Blattabacterium,Blattabacteriaceae,Flavobacteriales,Flavobacteriia
1368,49277,Psychroserpens,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1524,49279,Gelidibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
576,52959,Polaribacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
622,59732,Chryseobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
623,59734,Empedobacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
624,59735,Bergeyella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
689,76831,Myroides,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1439,78328,Coenonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1240,83612,Psychroflexus,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
10,104264,Cellulophaga,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
780,104267,Tenacibaculum,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
797,111500,Muricauda,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
799,112040,Zobellia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1464,143222,Salegentibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
123,153265,Aequorivita,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
913,178469,Arenibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
242,200473,Brumimicrobium,Crocinitomicaceae,Flavobacteriales,Flavobacteriia
956,216431,Croceibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1553,221065,Kordia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1422,225842,Formosa,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
977,232115,Mesonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
982,237444,Ulvibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
313,244698,Gillisia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
994,246873,Crocinitomix,Crocinitomicaceae,Flavobacteriales,Flavobacteriia
316,246876,Cryomorpha,Cryomorphaceae,Flavobacteriales,Flavobacteriia
996,252306,Robiginitalea,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
318,252356,Maribacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
340,267986,Owenweeksia,Cryomorphaceae,Flavobacteriales,Flavobacteriia
1333,283735,Leeuwenhoekiella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1554,283785,Bizionia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1502,286104,Winogradskyella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1033,290174,Aquimarina,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1036,291183,Lacinutrix,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1037,292691,Gramella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
394,308865,Elizabethkingia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1337,311207,Gaetbulibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
409,326319,Dokdonia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
415,332102,Fluviicola,Crocinitomicaceae,Flavobacteriales,Flavobacteriia
1340,336276,Olleya,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1079,358023,Lutibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
455,363408,Nonlabens,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1091,379068,Galbibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1092,379070,Gilvibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1348,379072,Sediminibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1109,417127,Zunongwangia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1113,426598,Fulvibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
518,444459,Flagellimonas,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1124,446680,Eudoraea,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1520,449810,Lutimonas,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
526,453850,Joostella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1144,472054,Leptobacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1369,499058,Spongitalea,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
559,501783,Cloacibacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1437,561367,Salinimicrobium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1382,574892,Kriegella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1438,633413,Pseudozobellia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
685,762551,Jejuia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
29,1115103,Wandonia,Crocinitomicaceae,Flavobacteriales,Flavobacteriia
825,1233041,Salinirepens,Crocinitomicaceae,Flavobacteriales,Flavobacteriia
826,1247519,Spongiibacterium,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1561,1433995,Cruoricaptor,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
120,1518147,Wenyingzhuangia,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
1419,1572663,Chishuiella,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
911,1778601,Apibacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia
726,848,Fusobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
402,32067,Leptotrichia,Leptotrichiaceae,Fusobacteriales,Fusobacteriia
1056,32068,Sebaldella,Leptotrichiaceae,Fusobacteriales,Fusobacteriia
439,34104,Streptobacillus,Leptotrichiaceae,Fusobacteriales,Fusobacteriia
173,167639,Ilyobacter,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
178,168808,Sneathia,Leptotrichiaceae,Fusobacteriales,Fusobacteriia
918,180162,Cetobacterium,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
1193,623282,Psychrilyobacter,Fusobacteriaceae,Fusobacteriales,Fusobacteriia
194,1792239,Caviibacter,Leptotrichiaceae,Fusobacteriales,Fusobacteriia
771,10,Cellvibrio,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria
282,22,Shewanella,Shewanellaceae,Alteromonadales,Gammaproteobacteria
658,68,Lysobacter,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
288,226,Alteromonas,Alteromonadaceae,Alteromonadales,Gammaproteobacteria
330,262,Francisella,Francisellaceae,Thiotrichales,Gammaproteobacteria
373,286,Pseudomonas,Pseudomonadaceae,Pseudomonadales,Gammaproteobacteria
421,338,Xanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
489,413,Methylococcus,Methylococcaceae,Methylococcales,Gammaproteobacteria
493,416,Methylomonas,Methylococcaceae,Methylococcales,Gammaproteobacteria
505,429,Methylobacter,Methylococcaceae,Methylococcales,Gammaproteobacteria
520,445,Legionella,Legionellaceae,Legionellales,Gammaproteobacteria
1435,461,Fluoribacter,Legionellaceae,Legionellales,Gammaproteobacteria
1436,465,Tatlockia,Legionellaceae,Legionellales,Gammaproteobacteria
537,469,Acinetobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
543,475,Moraxella,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
555,497,Psychrobacter,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
591,544,Citrobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
593,547,Enterobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1169,551,Erwinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
598,561,Escherichia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
599,568,Hafnia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
601,570,Klebsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
609,579,Kluyvera,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
611,581,Morganella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
615,583,Proteus,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
616,586,Providencia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
618,590,Salmonella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1191,613,Serratia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
631,620,Shigella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
632,626,Xenorhabdus,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
634,629,Yersinia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1195,635,Edwardsiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
636,637,Arsenophonus,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
639,642,Aeromonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
648,657,Photobacterium,Vibrionaceae,Vibrionales,Gammaproteobacteria
652,662,Vibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
668,702,Plesiomonas,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
672,713,Actinobacillus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
675,724,Haemophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
679,745,Pasteurella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
693,776,Coxiella,Coxiellaceae,Legionellales,Gammaproteobacteria
736,866,Ruminobacter,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria
1252,869,Dichelobacter,Cardiobacteriaceae,Cardiobacteriales,Gammaproteobacteria
1264,933,Thiomicrospira,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria
761,965,Oceanospirillum,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
7,1021,Beggiatoa,Thiotrichaceae,Thiotrichales,Gammaproteobacteria
778,1030,Thiothrix,Thiotrichaceae,Thiotrichales,Gammaproteobacteria
12,1051,Ectothiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
782,1056,Thiocapsa,Chromatiaceae,Chromatiales,Gammaproteobacteria
55,1227,Nitrosococcus,Chromatiaceae,Chromatiales,Gammaproteobacteria
1285,1237,Piscirickettsia,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria
306,2370,Xylella,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
990,2425,Teredinibacter,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria
346,2717,Cardiobacterium,Cardiobacteriaceae,Cardiobacteriales,Gammaproteobacteria
350,2742,Marinobacter,Alteromonadaceae,Alteromonadales,Gammaproteobacteria
351,2745,Halomonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
838,13275,Suttonella,Cardiobacteriaceae,Cardiobacteriales,Gammaproteobacteria
77,13334,Anaerobiospirillum,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria
844,13724,Thiocystis,Chromatiaceae,Chromatiales,Gammaproteobacteria
365,28228,Colwellia,Colwelliaceae,Alteromonadales,Gammaproteobacteria
368,28253,Marinomonas,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
1030,28884,Hydrogenovibrio,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria
387,29487,Photorhabdus,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
403,32199,Buchnera,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
433,34037,Rahnella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
434,34067,Cycloclasticus,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria
477,39773,Methylomicrobium,Methylococcaceae,Methylococcales,Gammaproteobacteria
481,40222,Methylophaga,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria
482,40323,Stenotrophomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
1105,41201,Ewingella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
498,42054,Chromohalobacter,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
1117,43947,Tolumonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
1119,44011,Ferrimonas,Ferrimonadaceae,Alteromonadales,Gammaproteobacteria
1129,45247,Leucothrix,Thiotrichaceae,Thiotrichales,Gammaproteobacteria
546,48073,Microbulbifer,Microbulbiferaceae,Cellvibrionales,Gammaproteobacteria
547,48075,Marinobacterium,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
566,51228,Wigglesworthia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
567,51366,Salinivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
579,53246,Pseudoalteromonas,Pseudoalteromonadaceae,Alteromonadales,Gammaproteobacteria
580,53335,Pantoea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1375,53392,Thiodictyon,Chromatiaceae,Chromatiales,Gammaproteobacteria
581,53452,Lamprocystis,Chromatiaceae,Chromatiales,Gammaproteobacteria
1529,57488,Thiorhodococcus,Chromatiaceae,Chromatiales,Gammaproteobacteria
1183,58050,Moritella,Moritellaceae,Alteromonadales,Gammaproteobacteria
625,59753,Alcanivorax,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria
1192,61593,Thiorhodovibrio,Chromatiaceae,Chromatiales,Gammaproteobacteria
638,64001,Nevskia,Sinobacteraceae,Nevskiales,Gammaproteobacteria
1536,64322,Carnimonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
1202,64968,Marinospirillum,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
656,67572,Psychromonas,Psychromonadaceae,Alteromonadales,Gammaproteobacteria
657,67575,Rheinheimera,Chromatiaceae,Chromatiales,Gammaproteobacteria
1219,70411,Frateuria,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria
674,71655,Brenneria,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1396,73778,Methylocaldum,Methylococcaceae,Methylococcales,Gammaproteobacteria
681,75309,Rhodanobacter,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria
682,75687,Neptunomonas,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
684,75984,Mannheimia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
1238,82978,Budvicia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1404,82984,Pragia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1405,83614,Luteimonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
710,83618,Pseudoxanthomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
713,83768,Succinimonas,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria
714,83770,Succinivibrio,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria
723,84565,Sodalis,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1246,85072,Allochromatium,Chromatiaceae,Chromatiales,Gammaproteobacteria
728,85076,Marichromatium,Chromatiaceae,Chromatiales,Gammaproteobacteria
1441,85077,Isochromatium,Chromatiaceae,Chromatiales,Gammaproteobacteria
1247,85078,Thiococcus,Chromatiaceae,Chromatiales,Gammaproteobacteria
729,85079,Thiohalocapsa,Chromatiaceae,Chromatiales,Gammaproteobacteria
1248,85108,Halorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
744,89404,Glaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria
17,106633,Thioalkalivibrio,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
791,109262,Halothiobacillus,Halothiobacillaceae,Chromatiales,Gammaproteobacteria
796,111142,Alishewanella,Alteromonadaceae,Alteromonadales,Gammaproteobacteria
823,122277,Pectobacterium,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
72,129577,Oceanimonas,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
840,133193,Alkalilimnicola,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
83,135575,Idiomarina,Idiomarinaceae,Alteromonadales,Gammaproteobacteria
1291,137583,Thalassomonas,Colwelliaceae,Alteromonadales,Gammaproteobacteria
851,141948,Thermomonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
1469,154346,Thiorhodospira,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
127,155493,Gallibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
877,156885,Thioflavicoccus,Chromatiaceae,Chromatiales,Gammaproteobacteria
141,158481,Hahella,Hahellaceae,Oceanospirillales,Gammaproteobacteria
143,158848,Moellerella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1420,158876,Yokenella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
880,160674,Raoultella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
919,180541,Salinisphaera,Salinisphaeraceae,Salinisphaerales,Gammaproteobacteria
217,187492,Thalassolituus,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
218,188143,Enterovibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
1315,196078,Pseudospirillum,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
1316,196079,Oceanobacter,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
248,202771,Zooshikella,Hahellaceae,Oceanospirillales,Gammaproteobacteria
255,204037,Dickeya,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1319,204286,Cobetia,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
953,214906,Histophilus,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
286,225143,Oceanisphaera,Aeromonadaceae,Aeromonadales,Gammaproteobacteria
296,230494,Reinekea,Saccharospirillaceae,Oceanospirillales,Gammaproteobacteria
1424,231454,Dyella,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria
1325,231683,Saccharospirillum,Saccharospirillaceae,Oceanospirillales,Gammaproteobacteria
1499,242605,Luteibacter,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria
992,243627,Hydrocarboniphaga,Sinobacteraceae,Nevskiales,Gammaproteobacteria
1327,246861,Grimontia,Vibrionaceae,Vibrionales,Gammaproteobacteria
329,261963,Kangiella,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria
345,271159,Nicoletella,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
1426,292486,Avibacterium,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
380,292713,Silanimonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
392,305899,Endozoicomonas,Hahellaceae,Oceanospirillales,Gammaproteobacteria
1051,316625,Saccharophagus,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria
1341,336803,Thorsellia,Thorselliaceae,Enterobacteriales,Gammaproteobacteria
452,359337,Marinimicrobium,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria
1083,364031,Sulfurivirga,Piscirickettsiaceae,Thiotrichales,Gammaproteobacteria
1430,375673,Paraferrimonas,Ferrimonadaceae,Alteromonadales,Gammaproteobacteria
463,376488,Halotalea,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
1102,401618,Candidatus Riesia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1351,406099,Aquisalimonas,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
486,412033,Celerinatantimonas,Celerinatantimonadaceae,unclassified Gammaproteobacteria,Gammaproteobacteria
1352,413435,Solimonas,Sinobacteraceae,Nevskiales,Gammaproteobacteria
490,413496,Cronobacter,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
494,416916,Aggregatibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
1354,418700,Litoricola,Litoricolaceae,Oceanospirillales,Gammaproteobacteria
508,437504,Granulosicoccus,Granulosicoccaceae,Chromatiales,Gammaproteobacteria
1125,447467,Simiduia,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria
1127,450803,Oceaniserpentilla,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
539,469322,Steroidobacter,Sinobacteraceae,Nevskiales,Gammaproteobacteria
544,475794,Haliea,Halieaceae,Cellvibrionales,Gammaproteobacteria
1147,476528,Bibersteinia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
1365,482136,Fangia,unclassified Thiotrichales,Thiotrichales,Gammaproteobacteria
552,490567,Arenimonas,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
1155,503005,Dasania,Spongiibacteraceae,Cellvibrionales,Gammaproteobacteria
564,511678,Aliivibrio,Vibrionaceae,Vibrionales,Gammaproteobacteria
1371,515417,Amphritea,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
1378,543732,Paramoritella,Moritellaceae,Alteromonadales,Gammaproteobacteria
1379,552511,Thiofaba,Halothiobacillaceae,Chromatiales,Gammaproteobacteria
1383,576341,Halovibrio,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
635,630749,Spongiibacter,Spongiibacteraceae,Cellvibrionales,Gammaproteobacteria
651,661182,Perlucidibaca,Moraxellaceae,Pseudomonadales,Gammaproteobacteria
1211,674963,Succinatimonas,Succinivibrionaceae,Aeromonadales,Gammaproteobacteria
1216,697331,Basfia,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
1398,745153,Umboniibacter,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria
683,759360,Oleibacter,Oceanospirillaceae,Oceanospirillales,Gammaproteobacteria
1407,863253,Marinicella,Alcanivoracaceae,Oceanospirillales,Gammaproteobacteria
1256,886360,Rudaea,Rhodanobacteraceae,Xanthomonadales,Gammaproteobacteria
748,904708,Arenicella,Arenicellaceae,Arenicellales,Gammaproteobacteria
1267,940550,Gilvimarinus,Cellvibrionaceae,Cellvibrionales,Gammaproteobacteria
765,986106,Acidiferrobacter,Acidiferrobacteraceae,Acidiferrobacterales,Gammaproteobacteria
1274,998014,Cocleimonas,Thiotrichaceae,Thiotrichales,Gammaproteobacteria
11,1048757,Candidatus Moranella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
24,1082702,Lonsdalea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
789,1084558,Oceanicoccus,Spongiibacteraceae,Cellvibrionales,Gammaproteobacteria
801,1123967,Porticoccus,Porticoccaceae,Cellvibrionales,Gammaproteobacteria
54,1217416,Halioglobus,Halieaceae,Cellvibrionales,Gammaproteobacteria
1288,1295378,Methylogaea,Methylococcaceae,Methylococcales,Gammaproteobacteria
78,1335483,Shimwellia,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
841,1335745,Spiribacter,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
842,1341120,Pseudohaliea,Halieaceae,Cellvibrionales,Gammaproteobacteria
843,1344362,Rehaibacterium,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
82,1354333,Cosenzaea,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
1558,1395977,Aidingimonas,Halomonadaceae,Oceanospirillales,Gammaproteobacteria
1462,1406885,Aliiglaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria
872,1541743,Candidatus Ruthia,sulfur-oxidizing symbionts,unclassified Gammaproteobacteria,Gammaproteobacteria
130,1565532,Rouxiella,Enterobacteriaceae,Enterobacteriales,Gammaproteobacteria
148,1621534,Paraglaciecola,Alteromonadaceae,Alteromonadales,Gammaproteobacteria
890,1648517,Mesocricetibacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
1472,1649267,Echinimonas,Vibrionaceae,Vibrionales,Gammaproteobacteria
160,1649512,Vulcaniibacterium,Xanthomonadaceae,Xanthomonadales,Gammaproteobacteria
172,1676142,Wenzhouxiangella,Wenzhouxiangellaceae,Chromatiales,Gammaproteobacteria
909,1765964,Acidihalobacter,Ectothiorhodospiraceae,Chromatiales,Gammaproteobacteria
924,1855402,Allohahella,Hahellaceae,Oceanospirillales,Gammaproteobacteria
1313,1857532,Muribacter,Pasteurellaceae,Pasteurellales,Gammaproteobacteria
185,173479,Gemmatimonas,Gemmatimonadaceae,Gemmatimonadales,Gemmatimonadetes
965,2237,Haloarcula,Halobacteriaceae,Halobacteriales,Halobacteria
1492,2239,Halobacterium,Halobacteriaceae,Halobacteriales,Halobacteria
1493,2249,Halococcus,Halobacteriaceae,Halobacteriales,Halobacteria
1504,29287,Natronococcus,Natrialbaceae,Natrialbales,Halobacteria
1519,43927,Halobaculum,Haloferacaceae,Haloferacales,Halobacteria
1380,56688,Halorubrum,Haloferacaceae,Haloferacales,Halobacteria
1532,60846,Halogeometricum,Haloferacaceae,Haloferacales,Halobacteria
1534,63743,Natronomonas,Halobacteriaceae,Halobacteriales,Halobacteria
1466,146825,Halorhabdus,Halobacteriaceae,Halobacteriales,Halobacteria
1569,171163,Halosimplex,Halobacteriaceae,Halobacteriales,Halobacteria
1328,253106,Natronolimnobius,Natrialbaceae,Natrialbales,Halobacteria
1505,293431,Haloquadratum,Haloferacaceae,Haloferacales,Halobacteria
