,taxa100883,taxa102106,taxa1263,taxa1279,taxa1301,taxa1350,taxa1357,taxa1386,taxa1485,taxa1505657,taxa1505663,taxa1506553,taxa1506577,taxa1508657,taxa1578,taxa162289,taxa1654,taxa1678,taxa1716,taxa1730,taxa189330,taxa2005359,taxa2039240,taxa2048137,taxa207244,taxa216851,taxa239759,taxa239934,taxa244127,taxa283168,taxa28453,taxa286,taxa29465,taxa32207,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa44249,taxa44748,taxa459786,taxa52784,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84111,taxa872,taxa904,taxa990721,condition
2645,,0.0021451549078689964,0.0001459220117781357,,0.00012859377287948207,,,,0.004411607488028568,,,,,,,,,0.00347841595576131,,0.0062351259616032564,,,,,0.0003206230869902926,0.04353167749006033,,,,,,,0.012265758437256321,,0.0008271954042673067,0.011634747071046286,0.02775142793301977,,0.08328873760739582,,,0.034877184840121665,,0.003096789361069324,0.009126915163070381,,0.0023012103926872804,0.0009449463609938301,,0.7472210216871522,,,,0.006266945066949321,,,,,H2029
2646,,0.010669785262276152,0.03353601255303554,,0.001233182368530106,,,,0.0018693876708308563,,,,,,,,,0.016644422585435706,,0.00388226809992287,0.0011979359458945287,,,,0.00020631692580406824,0.03438015700142902,0.42399971684882226,0.0022663892178391132,0.0019544804987000116,0.007889004738357986,,,,,,0.0006015487779519616,0.08630403652650191,0.028899264544310937,0.04337256648522378,,,0.03692394588863015,,0.00666083650526558,0.013981031820588331,,,0.005076074757809884,,0.22617732637449983,,,,0.0008588919055631831,,0.01027691300327541,0.001138503693500648,,H2029
2647,,0.02506644262031787,0.08978067135684299,,0.0061510172714085,,,,0.013264899138444643,,,,,,,,,0.025950094231686663,,0.004629095623969014,0.0017224357178691589,,,,0.0005608438108552758,0.017165394130258305,0.3551540950631251,0.008878405686817272,0.0012795180038804434,0.0022681913412465585,,,,,,0.00233489701220138,0.08072676622620409,0.03621701022403378,0.01142711819788277,,,0.06230468490206476,,0.00277424120810323,0.017307143681037303,,,0.010215894095217977,,0.20739706332254196,,,,0.003924516974508706,,0.013231744831749832,0.0002678153277323069,,H2029
2648,,0.011081099035134274,0.01059942160337071,,0.0004319148890247333,,,,0.0003636862460888441,,,,,,,,,0.004224660013914326,,0.0009245041072683769,0.0006772502202142403,,,,,0.01357797958320813,0.3144021432187564,5.2160737569616604e-05,6.595035784664167e-05,0.009144556709273796,,,,,,0.0010885406336942057,0.07181922023654355,0.03495261047104623,0.0006511098965586624,,,0.02901444025053462,,0.011490231073266532,0.019865806610048484,,3.309508866486019e-05,0.0033743800366588064,,0.45475529659314845,,,0.0005357567251978092,0.0010169545179952147,,0.00545169639908648,0.00040553474588607663,,H2029
2649,,,0.04000341981666523,,0.005351612768097113,,,,,,,,,,,,,0.004036012728237378,,0.06757340417729461,0.0008046291050131052,,,,,0.08604870636713534,0.2001950953938701,0.010733677917034274,,0.002735996301107995,,0.003089129543713249,0.003178056214523155,,0.09964676667914785,,0.024527462686183065,,,,,0.007824975155575209,,,0.003407092430982109,,,0.0004758005795102371,0.032190882957489474,0.3815640428580803,,,,0.026451681436071375,0.00016155488426880044,,,,H2029
2650,,,0.011335973988506911,,0.008621245318425067,,,,,,,,,,,,,0.012053837137072353,,0.050867049769592436,0.001647810413434073,,,,0.0006175390445298672,0.06759310518696411,0.12354627514275392,0.0002587374237497823,,0.003821022838028553,,,0.03834602979054094,0.0003060404987095617,0.09068012465139971,,0.027368727469311478,,,,,0.007844513233165172,,,0.006633476542093238,,,0.000362440318853914,0.026820063781179095,0.486943571590085,,,,0.034332415861604716,,,,,H2029
2651,,,0.021384149046314582,,0.003543577798029371,,0.0005961590981410707,,,,,,,,,,,0.009961055148606778,,0.04219852470074212,0.0008630606652490552,,,,,0.04915566867581417,0.19606158378735916,0.06631911955634126,,0.008956819678955865,,,0.0028001548863509,,0.030490374967948132,0.0002857323916567946,0.02454355547166254,,,,,0.010531166818779135,,,0.00374879995778287,,,0.0004598329491619607,0.008529912482897214,0.5091561783484307,,,,0.010414573569776323,,,,,H2029
2652,,0.002399689239001168,0.005406607173557485,,0.0005710221521335061,,,,,,,,,,,,,2.9580509331408312e-05,,0.05154948032369596,0.0011641705252469054,,,,,0.07668818037389999,0.1044466486525309,,,0.02165979550875577,,,0.0029417224919898936,,,,0.055584971728724,,,,,0.0033495785546513515,,,0.0028973517279927813,,,,,0.6357289246857751,,,,0.035582276352713736,,,,,H2029
2653,,0.00918098486889129,,,0.0026493711596218992,,,,0.0005007454747868033,,,,,,,,,0.005013315228067098,,0.03461774800846775,0.0022838508390579737,,,,,0.010051374705863585,0.24941661090166525,,,0.00784913647994815,,,,,,0.0033676055662406825,0.06226022225111463,0.12458512683924117,0.17380122249616956,,,0.06054006278527787,,,0.0019004234956635701,,,0.00037387693121814853,,0.24818048368930687,,,,0.002685293732693948,0.0007425445467037947,,,,H2029
2654,,0.006646089003058195,0.003138338710113388,,6.80495021005245e-05,,0.0001253106685021854,,0.0015373971136578427,,,,,,,,,0.06778406162107664,,0.07259992725579355,0.003621916966329485,,,,,0.060732995093322646,0.20647214783671342,,0.0029083456193903607,0.008077025397401977,,,,,0.00020948339758123136,0.024757096472380193,0.039890404735676274,,,,,0.01685422563697416,,,0.00137663905643082,,2.3354968490946566e-05,,,0.4749262480918871,,,,0.008065288636586732,0.00018565421653209303,,,,H2029
