,taxa100175,taxa102106,taxa117563,taxa1236988,taxa1257,taxa1263,taxa1279,taxa1301,taxa1350,taxa1357,taxa1386,taxa1485,taxa150022,taxa1501226,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1508657,taxa1573,taxa1573535,taxa1578,taxa158846,taxa162289,taxa1649459,taxa1654,taxa166484,taxa1678,taxa1716,taxa1730,taxa1870884,taxa189330,taxa195950,taxa2039240,taxa204475,taxa2048137,taxa2057233,taxa207244,taxa2147,taxa216851,taxa237,taxa239759,taxa239934,taxa241189,taxa244127,taxa253238,taxa2723,taxa283168,taxa286,taxa29465,taxa33042,taxa346096,taxa35832,taxa375288,taxa390876,taxa397864,taxa39948,taxa40544,taxa44249,taxa44748,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa590,taxa620,taxa644652,taxa698776,taxa724,taxa762551,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa848,taxa86331,taxa872,taxa904,taxa906,taxa990721,condition
2646,,0.010244800462863909,,,,0.0322002503781089,,0.001184063876578687,,,,0.001794928689250351,,,,,,,,,,,,,,,,0.0159814639203899,,0.0037276347226661006,,0.001150221342914216,,,,,,0.00019809918241253088,,0.03301077197934501,,0.4071115199276591,0.0021761173947932623,,0.0018766322119465847,,,0.007574780317352341,,,,,0.0005775886812442555,0.08286648808948137,,0.027748187194240142,0.04164500768112234,,,,0.035453240026116814,,0.0063955308597886855,,0.013424157820053725,,,,,,,,,0.21716852972882503,,,0.0008246816571626732,,,,0.009867576572980433,0.0010931563175301919,0.04470457096517349,,H2029
2647,,0.024940084814579464,,,,0.0893280946269812,,0.006120010516391566,,,,0.013198031909860857,,,,,,,,,,,,,,,,0.02581928201331616,,0.004605760746561087,,0.001713753065881717,,,,,,0.0005580166448957872,,0.017078864838097146,,0.35336379347023733,0.008833650398720179,,0.001273068062425964,,,0.0022567575815696885,,,,,0.0023231269949095055,0.08031982946221221,,0.03603444335518718,0.011369515066745705,,,,0.06199061228351672,,0.002760256494079197,,0.017219899841444262,,,,,,,,,0.20635159236222372,,,0.003904733818159265,,,,0.013165044731206839,0.00026646529343873166,0.015205311607358553,,H2029
2648,,0.01094861194603841,,,,0.010472693513505445,,0.00042675085735218745,,,,0.0003593379651163756,,,,,,,,,,,,,,,,0.004174149418720785,,0.0009134506135994907,,0.0006691529267976554,,,,,,,,0.013415639459265672,,0.3106431095138429,5.153709687623586e-05,,6.51618466251258e-05,,,0.009035223176955171,,,,,0.0010755258975688946,0.07096054011825335,,0.03453471242655371,0.0006433251403171511,,,,0.028667539756427392,,0.011352852347283735,,0.019628288392589937,,3.2699399397335855e-05,,,,,,,0.44931818197974016,,0.0005293511467655674,0.0010047956749594399,,,,0.005386515194202445,0.00040068611870213713,0.01529016807254338,,H2029
2649,,,,,,0.0370109643353218,,0.004951285420202519,,,,,,,,,,,,,,,,,,,,0.0037340988302072323,,0.06251857624882987,,0.0007444388316119837,,,,,,,,0.079611833614482,,0.18521950297464684,0.009930745231153677,,,,,0.0025313301209236912,0.0028580472342999525,0.002940321746251384,0.09219269113976256,,,0.02269268604720837,,,,0.07524519987084753,,,0.007239627955186051,,,,0.003152224910473558,,,,,,,0.029782844229878154,,0.35302114785642486,,,0.024472963629771572,0.0001494697725162654,,,,,,,H2029
2650,,,,,,0.010539858586515202,,0.008015782903875973,,,,,,,,,,,,,,,,,,,,0.011207306842661639,,0.04729470196635041,,0.0015320861491558361,,,,,,0.0005741698249833229,,0.06284610134218238,,0.11486972978374267,0.00024056652389347556,,,,,0.0035526757920843104,,0.03565302211846675,0.08431173990010266,,,0.025446646006058025,,,,0.07085064733660476,,,0.0072936000242620576,,,,0.006167613366219216,,,,,,,0.024936514482261817,,0.45274595631355424,,,0.031921280737025264,,,,,,,,H2029
2651,,,,,,0.02085092955318337,,0.003455217735010549,,0.0005812937110991146,,,,,,,,,,,,,,,,,,0.009712673566253958,,0.04114629316685779,,0.0008415400160303807,,,,,,,,0.047929958890539325,,0.19117273559876988,0.06466543451897312,,,,,0.00873347897744202,,0.0027303322730706093,0.029730089288561145,,0.00027860757781826296,0.023931555331750815,,,,0.0253836351582093,,,0.010268569348988423,,,,0.003655322625156263,,,,,,,0.008317216826842201,,0.49646023245151577,,,0.010154883383927619,,,,,,,,H2029
2652,,0.002125273675748899,,,,0.004788336637230422,,0.0005057231280096735,,,,,,,,,,,,,,,,,,,,2.6197841276920506e-05,,0.045654558827828935,,0.0010310422412944833,,,,,,,,0.06791853225860706,,0.09250269130423437,,,,,,0.019182897713882055,,0.0026053229193071905,,,,0.049228573126191534,,,,0.11415552149370449,,,0.0029665387548333706,,,,0.0025660261573918096,,,,,0.00019910359370459586,,,,0.5630303818461115,,,0.03151327848064257,,,,,,,,H2029
2653,,0.009147140221152842,,,,,,0.0026396045567022458,,,,0.0004988995340252402,,,,,,,,,,,,,,,,0.0049948342164633595,,0.0344901336507952,,0.0022754316848780133,,,,,,,,0.010014321465817435,,0.2484971651715359,,,,,,0.00782020153854388,,,,,0.003355191274556394,0.06203070708250277,,0.12412585805800057,0.1731605242229564,0.0030250785139627526,,,0.06031688878724919,,,0.0010338054713513918,0.001893417802409185,,,,,,,,,0.2472655948003726,,,0.002675394705328677,0.0007398072413959023,,,,,,,H2029
2654,,0.006641151660518922,,,,0.0031360072557484286,,6.799894850406459e-05,,0.00012521757590382629,,0.0015362549898967068,,,,,,,,,,,,,,,,0.06773370521887193,,0.07254599317380592,,0.0036192262643687766,,,,,,,,0.060687876889206856,,0.20631876082696676,,,0.00290618502561274,,,0.008071025020177564,,,0.00020932777353080512,,0.02473870456316777,0.03986077037596192,,,,,,,0.016841704726531098,,,,0.0013756163589358854,,2.333761821480963e-05,,,0.0007428944356602598,,,,0.4745734280248308,,,0.00805929697853662,0.00018551629504767454,,,,,,,H2029
2655,,0.014174225179044065,,,,0.013383959493035561,,0.0025787390179641805,,,,0.0010480102304425952,,,,,,,,,,,,,,,,0.1322129260991091,,0.06034380815354546,,0.01097209147247162,,,,,,,,0.026088900631662786,,0.21794236202447292,,,0.0017276753716625667,,,0.010625413741438564,,4.365810978494662e-05,0.00082346740900545,,0.026453149404411756,0.08741334538943953,,,,,,,0.016070388515135946,,0.0010322717513596268,,0.011141010628108686,,2.0481582368246565e-05,,,0.0010183658349096068,,,,0.35817113267570205,,,0.0061257178929367325,0.0004440191461831978,,,0.0001448802458048599,,,,H2029
2656,,0.001316744832537505,,,,0.01716412838603243,,,,,,0.00048597278394967285,,,,,,,,,,,,,,,,0.0019404798797558486,,0.04895650989670979,,0.0005801759315943449,,,,,,,,0.10917882407706499,,0.2939754856644589,0.07112481969543781,,0.0007011443189597873,,,0.0041371975691914245,,0.00018040296380421173,3.450616689491468e-05,,0.0015059383407598126,0.2053130050462973,,0.020581682132339414,,,,,0.0049049925831421495,,0.0007462778604497137,,0.004949994922476582,,9.708959506553941e-05,,,0.0001983776591068859,,,,0.17011015470570964,,,0.03807906399332653,,,,0.00373703099493481,,,,H2029
2657,,0.0007988131116132553,,,,0.026974352644356797,,,,0.0002991683036805715,,,,,,,,,,,,,,,,,,0.0034305944297055007,,0.04302414167306219,,0.00014986532505803063,,,,,,,,0.048642966669867366,,0.3977560690184651,0.13264543368367984,,0.0010641000425555666,,,0.009884363296604146,,0.00252929368022423,,,0.006413561096761124,0.16756939671333815,,0.013478178779210561,,,,,0.008942151843940994,,,,0.0035153681548555876,,0.00033389319607206644,,,,,0.0013494908585666382,,0.10555130124856374,,,0.016507820200411836,,,,0.009139676029406784,,,,H2029
