,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,controlAbundance
46,taxa119977,46,4,0.10772833723653395,0.013468013468013467,5.85184584525056e-05
47,taxa1200657,0,2,0.0,0.006734006734006734,0
48,taxa1203,0,1,0.0,0.003367003367003367,0
49,taxa120652,0,2,0.0,0.006734006734006734,0
50,taxa120831,1,4,0.00234192037470726,0.013468013468013467,0
51,taxa120961,13,3,0.03044496487119438,0.010101010101010102,5.049796153382804e-06
52,taxa1210119,5,6,0.0117096018735363,0.020202020202020204,9.5035372257764e-06
53,taxa1213720,1,2,0.00234192037470726,0.006734006734006734,0
54,taxa1217416,0,1,0.0,0.003367003367003367,0
55,taxa1227,0,2,0.0,0.006734006734006734,0
56,taxa123375,77,25,0.18032786885245902,0.08417508417508418,1.942443841233292e-05
57,taxa1234,1,7,0.00234192037470726,0.02356902356902357,0
58,taxa1236988,70,7,0.16393442622950818,0.02356902356902357,3.250149656758816e-05
59,taxa1243,63,38,0.14754098360655737,0.12794612794612795,2.8282394202074816e-05
60,taxa125287,2,4,0.00468384074941452,0.013468013468013467,6.9600201404259695e-06
61,taxa1253,43,26,0.10070257611241218,0.08754208754208755,3.983167737870034e-05
62,taxa1257,27,31,0.06323185011709602,0.10437710437710437,9.66407839572468e-06
63,taxa1263,408,152,0.955503512880562,0.5117845117845118,0.030020269367458503
64,taxa1269,13,11,0.03044496487119438,0.037037037037037035,6.974862878830457e-06
65,taxa1274351,0,1,0.0,0.003367003367003367,0
66,taxa1279,62,46,0.1451990632318501,0.15488215488215487,2.1439310531994225e-05
67,taxa1279384,0,2,0.0,0.006734006734006734,0
68,taxa1279388,3,5,0.00702576112412178,0.016835016835016835,3.337680323752273e-05
69,taxa1283313,4,20,0.00936768149882904,0.06734006734006734,8.437096042375204e-05
70,taxa12916,4,10,0.00936768149882904,0.03367003367003367,2.810920505913638e-05
71,taxa129337,28,4,0.06557377049180328,0.013468013468013467,7.397364175748545e-06
72,taxa129577,0,3,0.0,0.010101010101010102,0
73,taxa12960,0,3,0.0,0.010101010101010102,0
74,taxa1298,4,11,0.00936768149882904,0.037037037037037035,4.358596263805999e-05
75,taxa1301,336,181,0.7868852459016393,0.6094276094276094,0.0015731972938730929
76,taxa133,0,1,0.0,0.003367003367003367,0
77,taxa13334,14,10,0.03278688524590164,0.03367003367003367,5.890523728378861e-06
78,taxa1335483,13,5,0.03044496487119438,0.016835016835016835,4.7454132968945476e-06
79,taxa133925,76,28,0.17798594847775176,0.09427609427609428,1.8498362147977234e-05
80,taxa1348911,37,25,0.08665105386416862,0.08417508417508418,0.0008897165151428785
81,taxa1350,177,91,0.41451990632318503,0.3063973063973064,9.148873061077383e-05
82,taxa1354333,0,2,0.0,0.006734006734006734,0
83,taxa135575,1,11,0.00234192037470726,0.037037037037037035,0
84,taxa1357,203,62,0.47540983606557374,0.20875420875420875,0.00014890434255624845
85,taxa135858,10,15,0.0234192037470726,0.050505050505050504,0.003023294046105042
86,taxa136099,0,8,0.0,0.026936026936026935,0
87,taxa13687,7,23,0.01639344262295082,0.07744107744107744,1.9151090508777207e-05
88,taxa1372,3,10,0.00702576112412178,0.03367003367003367,1.0941520617950076e-05
89,taxa1375,48,4,0.11241217798594848,0.013468013468013467,2.2786442438786913e-05
90,taxa1378,149,59,0.34894613583138173,0.19865319865319866,3.517523718956414e-05
