,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1279,taxa1301,taxa133925,taxa1350,taxa1357,taxa1378,taxa1380,taxa1386,taxa1485,taxa1505663,taxa1506553,taxa1508657,taxa1573535,taxa1578,taxa1654,taxa1678,taxa1716,taxa1730,taxa189330,taxa2039240,taxa2048137,taxa207244,taxa2147,taxa216851,taxa2172,taxa237,taxa239759,taxa239934,taxa244127,taxa283168,taxa286,taxa292632,taxa29465,taxa32207,taxa32636,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa44249,taxa447020,taxa44748,taxa459786,taxa52225,taxa52784,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa79206,taxa816,taxa830,taxa836,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa872,taxa904,taxa906,condition
2642,,,0.007055683564553226,,0.04853007465987929,,2.2538435895446823e-05,,,,,,,0.0016605061608552449,,,,,,,0.05878820789033952,,0.035298859659973626,0.0017002367059918697,,,,,0.008918406668861107,,,0.051902558479378906,0.07483012309130899,0.0018594733763415612,0.0009218744430909737,,0.0225393793648564,0.0003667999404565973,,,0.0011131890733662782,0.007203703431922394,0.050885288795986285,0.0537079396095714,0.19143203980182952,,,6.677666821116106e-05,,0.05492491031799114,,,0.0004056918461180428,0.0013293483980937725,,,0.0015829320094011487,0.00027035640081096436,,,0.31781291211267965,,,3.941605533343258e-05,0.004830773036902235,,,,,,,H2029
2643,,,0.004283374834700447,,0.057409634007436657,,0.0011391269048569217,,,,,,,0.0003181180979350668,,,,,,,0.001226950260952394,,0.02681543384898957,0.002943692881938462,,,,,0.025769820566576604,0.02593172474871838,,0.05606275869910205,0.25239874251555516,0.00210990781661152,0.00044330395760171817,,0.2261451419458414,,,,0.002088649840441711,0.0040041223295606875,0.015314224560026998,0.008092847109736574,,,,,,0.012495824901271197,,,,0.02003220690753242,0.011067031230221628,,0.0010330517510398964,,,,0.10443013002473335,,,0.10467932074539053,0.02731692883226824,6.688747047369105e-05,,0.00019744150594079915,0.006183601704546126,,,H2029
2644,,0.00012641519916524737,,,0.03935571001720549,,,,,,,,,0.01876012406702328,,,,,,,0.022352702963128867,,0.01240550870778275,,,,,,0.04489193616433933,,,0.18988648023625865,0.18716068641391442,0.013754190690980052,0.002019930414129682,,0.08042643481793607,,,,,0.013641990419789612,0.05364182114278473,0.06201560733985094,,0.0005847652431772687,,0.0018707279258445187,,0.020218076527095608,,,0.0036607237416641926,0.003674070582434429,,0.0008184977230072624,,,,,0.14149929945362594,,,,0.07139387894350316,,,0.0011863496759430465,0.014654071589415587,,,H2029
2645,,,0.002132673466223536,,0.00014507297422466304,,0.0001278455585354843,,,,,,,0.004385938842271324,,,,,,,0.0034581770230804054,,0.006198847294474665,,,,0.00031875756281030126,,0.04327839130996766,,,,,,,,0.0058184337176188814,0.012194390934792822,,,0.0008223824226360586,0.011567051066392145,0.027589958089022225,,0.08280412760820305,,,,,0.03467425425187228,,,0.003078770897434516,0.009073810812147727,,0.0022878209525471344,0.0009394482532256826,,,,0.7428733657000542,,,,0.00623048126246532,,,,,,,H2029
2646,,0.0008157404228107203,0.007613366820221313,,0.02392943803250818,,0.0008799305231608931,,,,,,,0.001333891331211131,,,,,,,0.01187653655052713,,0.0027701711339644234,0.0008547806313843498,,,0.0001472163121145766,,0.02453177267907275,,,0.302542675104543,0.001617169610133533,0.0013946088523620326,0.0056291561116920364,,0.25217133537401726,,,,,0.000429231834964516,0.061581772452828955,0.020620911892983942,0.030948257201945103,,,,,0.02634687930356477,,,0.004752803397403122,0.009976088661471195,,,0.003622005334513028,,,,0.16138759213778603,,,,0.0006128576138350922,0.0002464478934755814,,,0.007333034972134656,0.0008123730732841539,0.03322195474008639,H2029
2647,,0.00046195954634935916,0.012964541960794941,,0.04643520018794638,,0.003181349772069837,,,,,,,0.0068606999441828825,,,,,,,0.013421572843391297,,0.0023942010985170056,0.0008908559733556437,,,0.00029007239796331177,,0.008878063626584717,,,0.1836882176596486,0.004591974410377794,0.0006617757893357679,0.001173124653710031,,0.47352137006995004,,,,,0.0012076252999810653,0.041752456220117404,0.018731694634779854,0.005910186603316907,,,,,0.032224425061105164,,,0.0014348572350935643,0.008951377499910667,,,0.005283732904211008,,,,0.10726723255940988,,,,0.002029788022279203,0.0009054366036249499,,,0.006843552301542218,0.00013851598755840977,0.007904139132891971,H2029
2648,,4.11404434874678e-05,0.010031321012041886,,0.009595275731067852,,0.0003909970381051689,,,,,,,0.000329232097882559,,,,,,,0.003824432994592257,,0.0008369203675155059,0.0006130903029478051,,,,,0.01229165730423065,,,0.28461696944513376,4.7219242525193914e-05,5.970249054909575e-05,0.008278238789554802,,0.08054756084932112,,,,,0.0009854167440085295,0.06501536090806838,0.0316413430411754,0.0005894264066937999,,,,,0.02626573079213482,,,0.010401693553411912,0.017983801303164255,,2.9959795257364416e-05,0.0030547050664401884,,,,0.41167363883206304,,,0.0004850013232242907,0.0009206124042670566,0.00013807557814263601,,,0.004935224968753888,0.0003671160418855306,0.01400913513235391,H2029
2649,,,,,0.03370969531582155,,0.004509645342512937,,,,,,,,,,,,,,0.003401028211667563,,0.056942103367885355,0.0006780370802431826,,,,,0.07251069251705124,,,0.1686984687903556,0.009044952003094778,,0.002305542929035854,0.002603117838097805,0.08874792164406886,0.0026780537058858755,,,0.08396937460235498,,0.020668565282935307,,,0.068533549643386,,4.819026867400019e-05,,0.006593874462663445,,,,0.002871055731925246,,,0.0004009430353676816,,0.0271263022365947,,0.32153270113323035,,,,0.02229004734814373,,0.0001361375090040505,,,,,H2029
2650,,,,,0.010063491678938725,,0.007653495907102682,,,,,,,,,,,,,,0.010700773471357217,,0.045157137146525785,0.0014628408993241282,,,0.0005482192392419761,,0.06000566447067483,,,0.10967799618484633,0.00022969370903425391,,0.0033921065428097275,,0.044603264973209135,0.03404162289968984,0.00027168693358898437,,0.08050112683741988,,0.02429654138495731,,,0.06764843133963577,,,,0.006963953315993822,,,,0.0058888575477918075,,,0.0003217557782503938,,0.02380946612652305,,0.4322833296704628,,,,0.030478543942621564,,,,,,,H2029
2651,,,,,0.01916519373475907,,0.0031758736280005613,,,0.0005342978384534771,,,,,,,,,,,0.008927432712529167,,0.03781973738862057,0.0007735040014229077,,,,,0.04405496385632269,,,0.17571698687145218,0.059437425911272386,,0.008027403102302825,,0.08043491662144284,0.002509593005923056,,,0.02732649973775243,0.00025608298139608677,0.02199676005509725,,,0.023331443533904716,,,,0.009438385969805651,,,,0.00335980063121322,,,0.000412117757747925,,0.007644794512103305,,0.456322894970607,,,,0.009333891177870549,,,,,,,H2029
