,taxa1016,taxa102106,taxa114627,taxa117563,taxa1263,taxa1279,taxa1301,taxa1350,taxa1357,taxa1378,taxa1386,taxa1485,taxa1486726,taxa1501226,taxa1505652,taxa1505657,taxa1505663,taxa1506553,taxa1508657,taxa1562,taxa1573,taxa1573535,taxa1578,taxa162289,taxa1649459,taxa1654,taxa1663,taxa166484,taxa1678,taxa1730,taxa1849828,taxa1870884,taxa189330,taxa2039240,taxa204475,taxa2048137,taxa207244,taxa2132,taxa2147,taxa216851,taxa2172,taxa237,taxa239759,taxa239934,taxa241189,taxa244127,taxa253238,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa420345,taxa44249,taxa447020,taxa44748,taxa459786,taxa46205,taxa52225,taxa553372,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa653683,taxa698776,taxa724,taxa762551,taxa816,taxa830,taxa83681,taxa838,taxa841,taxa84111,taxa848,taxa872,taxa904,taxa906,taxa990721,condition
2642,,0.0070556835645532254,,,0.04853007465987928,,2.253843589544682e-05,,,,,0.0016605061608552447,,,,,,,,,,,,,,,,,0.05878820789033951,0.035298859659973626,,,0.0017002367059918695,,,,,,,0.008918406668861107,,,0.0519025584793789,0.07483012309130897,,0.001859473376341561,,0.0009218744430909736,0.022539379364856397,0.00036679994045659726,0.0011131890733662782,0.007203703431922393,0.05088528879598628,0.053707939609571397,0.1914320398018295,,,,6.677666821116104e-05,,0.054924910317991134,,,,0.0004056918461180427,,0.0013293483980937723,,,0.0015829320094011487,0.00027035640081096436,,,,,0.3178129121126796,,,3.9416055333432575e-05,0.004830773036902234,,,,,,,H2029
2643,,0.004284507354143808,,,0.05742481304949082,,0.0011394280887173102,,,,,0.000318202207999,,,,,,,,,,,,,,,,,0.0012272746652084278,0.026822523819255567,,,0.0029444711909944596,,,,,,,0.025776634077877822,0.02593858106730154,,0.056077581628853804,0.2524654764565269,,0.0021104656738428445,,0.00044342116666482316,0.22620493446462833,,0.0020892020770882707,0.004005181014958726,0.015318273623614364,0.008094986849324545,,,,,,,0.01249912878318853,,,,,,0.020037503400296124,0.01106995734071445,,0.0010333248887500431,,,,,,0.10445774123255192,,,0.10470699783895274,0.027324151397238466,,,0.0061852366418165385,,,,H2029
2644,,,,,0.03940744272383117,,,,,,,0.018784784071739148,,,,,,,,,,,,,,,,,0.022382085378645625,0.012421815631028234,,,,,,,,,,0.044950946187597283,,,0.19013608420909897,0.18740670735669196,,0.013772270443869255,,0.0020225855934536676,0.08053215460181411,,,0.013659922686489129,0.053712332806653426,0.06209712626605818,,0.0005855339115295093,,,0.0018731869799162627,,0.020244652996458112,,,,0.0036655357282166495,,0.0036789001132821776,,0.000819573630481924,,,,,,,0.14168529893739015,,,,0.0714877255185653,,,0.014673334227189765,,,,H2029
2645,,0.002132673466223536,,,0.00014507297422466304,,0.0001278455585354843,,,,,0.004385938842271324,,,,,,,,,,,,,,,,,0.0034581770230804054,0.006198847294474665,,,,,,,0.00031875756281030126,,,0.04327839130996766,,,,,,,,,0.0058184337176188814,0.012194390934792822,0.0008223824226360586,0.011567051066392145,0.027589958089022225,,0.08280412760820305,,,,,,0.03467425425187228,,,,0.003078770897434516,,0.009073810812147727,,0.0022878209525471344,0.0009394482532256826,,,,,,0.7428733657000542,,,,0.00623048126246532,,,,,,,H2029
2646,,0.007621462248374553,,,0.02395488262895467,,0.0008808661689137251,,,,,0.0013353096815535012,,,,,,,,,,,,,,,,,0.011889165082768448,0.0027731167061293724,,,0.0008556895348105941,,,,0.0001473728498338079,,,0.024557857748646383,,,0.3028643741041358,0.0016188891753009,,0.001396091764722985,,0.00563514169335934,0.25243947363348024,,,0.0004296882447977858,0.06164725344516956,0.02064283847482689,0.030981165033468594,,,,,,0.026374894408248497,,,,0.00475785713766531,,0.009986696413720148,,,0.003625856677111985,,,,,,0.16155919843074776,,,,0.0006135092762202266,,,0.007340832318455137,0.0008132368840007125,0.03325728023458303,,H2029
2647,,0.012982293899490942,,,0.04649878244403886,,0.003185705894044304,,,,,0.006870094084383832,,,,,,,,,,,,,,,,,0.013439950580070333,0.0023974794026217936,,,0.0008920757943623401,,,,0.00029046958495546456,,,0.008890220079293569,,,0.1839397361466829,0.004598262056210029,,0.0006626819380665377,,0.0011747309763243125,0.4741697479577418,,,0.0012092788632429093,0.04180962654248346,0.01875734335386568,0.005918279235558084,,,,,,0.03226854895070562,,,,0.0014368219398823582,,0.008963634338995588,,,0.0052909677531463,,,,,,0.1074141102001505,,,,0.0020325673470441147,,,0.0068529229620165515,0.00013870565313448555,0.007914962021487348,,H2029
2648,,0.010033119107732915,,,0.009596995666450796,,0.0003910671235992507,,,,,0.00032929111212563235,,,,,,,,,,,,,,,,,0.003825118517115158,0.00083707038393954,,,0.0006132001982477979,,,,,,,0.012293860561010872,,,0.2846679865091614,4.722770648686121e-05,,5.971319210982451e-05,,0.008279722648508068,0.08056199885024963,,,0.0009855933781327034,0.0650270147909577,0.03164701469324519,0.0005895320602842675,,,,,,0.026270438875676597,,,,0.010403558037694225,,0.01798702486620174,,2.996516549511194e-05,0.003055252616659221,,,,,,0.41174743056848595,,,0.0004850882588121745,0.000920777422333494,,,0.004936109598678494,0.00036718184675532087,0.014011646243850222,,H2029
2649,,,,,0.033797674645577674,,0.0045214151188622915,,,,,,,,,,,,,,,,,,,,,,0.003409904595145397,0.05709071723230255,,,0.0006798066971830781,,,,,,,0.07269993902515623,,,0.16913875690557015,0.009068558529568931,,,,0.002311560192607066,0.08897954588719365,0.00268504318970907,0.08418852725942717,,0.02072250841423854,,,0.06871241615958981,,,4.831604102225146e-05,,0.006611083893074667,,,,,,0.0028785489340031863,,,0.0004019894613051322,,,,0.027197099491425347,,0.32237187310661514,,,,0.022348222404534747,0.00013649281588786039,,,,,,H2029
2650,,,,,0.010066226541160506,,0.007655575827023984,,,,,,,,,,,,,,,,,,,,,,0.010703681521767979,0.04516940908477206,,,0.0014632384420895691,,,,0.0005483682237231571,,,0.06002197165610205,,,0.10970780236126067,0.00022975613077289687,,,,0.003393028384287035,0.044615386390728526,0.03405087407725391,0.08052300388542889,,0.024303144231690194,,,0.06766681552925265,,,,,0.006965845845291384,,,,,,0.005890457908238333,,,0.00032184321884761894,,,,0.0238159366053099,,0.43240080731988495,,,,0.030486826815113825,,,,,,,H2029
2651,,,,,0.019165193734759074,,0.0031758736280005618,,0.0005342978384534772,,,,,,,,,,,,,,,,,,,,0.008927432712529168,0.03781973738862058,,,0.0007735040014229079,,,,,,,0.0440549638563227,,,0.1757169868714522,0.0594374259112724,,,,0.008027403102302827,0.08043491662144285,0.0025095930059230564,0.027326499737752433,0.0002560829813960868,0.021996760055097254,,,0.023331443533904723,,,,,0.009438385969805653,,,,,,0.003359800631213221,,,0.0004121177577479251,,,,0.007644794512103307,,0.45632289497060713,,,,0.00933389117787055,,,,,,,H2029
2652,,0.00204228612790163,,,0.0046013619805895705,,0.0004859756842982727,,,,,,,,,,,,,,,,,,,,,,2.5174869679769616e-05,0.043871842593019635,,,0.0009907821711170129,,,,,,,0.06526645384167504,,,0.08889065224864957,,,,,0.018433845175357063,0.03749494740365527,0.0025035904399137287,,,0.047306299014212516,,,0.10969798413741531,,,0.001552987360805628,,0.0028507015430583923,,,,,,0.002465828135394074,,,,0.0001913290095662491,,,,,0.5410452082253752,,,,0.030282750038316156,,,,,,,H2029
2653,,0.008542632681134088,,,,,0.0024651608706303526,,,,,0.0004659287341098004,,,,,,,,,,,,,,,,,0.004664740343187716,0.03221078236240612,,,0.0021250551106646383,,,,,,,0.009352504472976437,,,0.23207471986211578,,,,,0.007303387465487041,0.06573917160011884,,,0.003133456571180561,0.05793128045981329,0.11592274590565377,0.16171685549201129,0.0028251599900714964,,,,,0.05633072336496277,,,,,0.000965484314439489,0.001768287399869249,,,0.00034788133701956273,,,,,,0.2309245403472674,,,,0.0024985857538098815,0.000690915561070493,,,,,,H2029
2654,,0.005648824301915249,,,0.0026674219928701478,,5.783847929538625e-05,,0.00010650744358052835,,,0.0013067062709103986,,,,,,,,,,,,,,,,,0.05761286892057376,0.06170610011558627,,,0.0030784379459117515,,,,,,,0.051619835132120116,0.0007460559245697557,,0.17549041034990367,,,0.0024719400245198876,,0.006865044589537745,0.14663969015503434,,0.0001780498134406751,0.021042223198288544,0.03390473518793324,,,,,,0.002035229276669358,,0.014325200779630457,,,,,,0.0011700704208676398,,1.9850488538660438e-05,,0.0006318904244971554,,,,,0.4036622035311903,,,,0.00685506896331781,0.0001577962692971688,,,,,,H2029
2655,,0.013273882899214131,,,0.012533814638491646,,0.0024149383348797274,,,,,0.0009814409535866863,,,,,,,,,,,,,,,,,0.12381480304099308,0.05651078863252729,,,0.010275147708276821,,,,,,,0.02443174195270408,0.003944540611031288,,0.20409873243498813,,,0.0016179339809847583,,0.00995049083656989,0.05602481283016499,4.088496052279448e-05,0.0007711610208237704,0.024772853759139936,0.0818608774639372,,,,,,0.0035503288311757013,,0.015049602542660934,,,,0.0009667021776945182,,0.010433337172818104,,1.9180598763780127e-05,,0.0009536795606391097,,,,,0.33542021612900585,,,,0.005736614238687207,0.0004158151910947912,,0.00013567749862379206,,,,H2029
2656,,0.0010389392053895643,,,0.013542856190461697,,,,,,,0.00038344268799949636,,,,,,,,,,,,,,,,,0.0015310791996524169,0.038627709966186856,,,0.00045777094123481993,,,,,,,0.08614437507485878,,,0.23195280507891786,0.05611896992635394,,0.0005532175282584527,,0.0032643353889546763,0.21000733655056653,0.0001423417105829664,2.7226087187869212e-05,0.0011882168393245734,0.1619962539802624,0.01623937755574541,,,,,0.0009717539179944042,,0.003870141709195781,,,,0.0005888288362152094,,0.0039056494959084777,,7.660572060465101e-05,,0.00015652412101923286,,,,,0.1342204689864328,,,,0.030045177706120366,,,0.002948595594570642,,,,H2029
