,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa570,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,taxa872,taxa904,condition
12,,0.033802288415106914,0.0045220323437904315,,,,,0.0034103700861616774,0.057098510768820394,0.0006798994985801599,,0.0727098633991544,,0.16916184628231,0.009069796491631605,0.002311875747037761,0.08899169261390914,0.002685409728844772,0.08420001995724893,,0.02072533727388328,,,0.0687217961910648,4.832263671500782e-05,0.006611986381714521,,,0.002878941888888378,,0.0004020443374688651,0.027200812206877898,0.3224158805580395,,0.0223512731927515,,,,Control
13,0.01108105386947093,0.15268851606097603,,,,0.00030429762904412,,,0.25366381193854554,0.023836409103988113,,0.06974201142061606,,0.0029118329051326325,,,0.33002851320914406,,0.010518864766433425,,0.0024753697287744213,,,,,,0.0046322337766279585,,0.01403060455260735,,,,0.1174791236187397,,0.00660735741989955,,,,Control
14,0.01214881006138182,0.08519682466556601,0.0005339578739506287,,,,,0.0011358020682495985,0.32572242105551563,0.0076274187672696605,,0.04906384865713958,,0.037978692422202184,,,0.11034520549057254,,0.005644610546632018,0.001435861633675674,0.01236322530038936,,,,,8.188977656369391e-05,0.006829120288674147,,0.004542193529794383,0.00042253907015021234,,,0.3230018945255619,,0.015925684266711045,,,,Control
15,0.0135425969455322,0.013644395261506086,,,0.0025799964235825854,,,0.03862219814907441,0.03286126351199008,0.017326964891502386,0.002443263247646174,0.046948719875810195,,0.1270146503533656,,,0.028377991038223617,,0.10909524414232068,,0.011488800371118097,0.06471294067034504,,0.0006202233446759326,0.0007578894990683175,,0.002944376342776285,,0.0162468868323049,,0.0014794965026265936,,0.43280974236836584,0.029613980163841386,0.006868380064323684,,,,Control
16,0.004340864490953776,0.058180161979441175,0.0011544157872723972,,,0.00032238774530519434,,0.0012434178715314754,0.027175339328606576,0.0029832018902388874,,0.02611569226430442,0.026279769456312597,0.056815209476959325,0.2557863323263839,0.00044925379695077554,0.2291803669671267,,0.002116682820508692,0.004057863976090863,0.01551976564380278,0.00820146590132128,,,,0.012663538609713457,,,0.02030107076688461,,0.0010469169373360043,,0.10583174732634694,0.10608428258009422,0.027683565166716783,0.00020009148282694984,0.00626659540697019,,Control
17,0.013248416563771894,0.036771611168819295,0.0015758824451717849,,,,0.0027769339317562664,0.07158771126093462,0.06898012497631786,0.006526264299106938,3.154214765889893e-05,0.009674354376131023,0.3587138398369363,0.07029928087986465,0.004192655763087235,,0.12428933193527103,,0.015057751732878637,,0.017293365247045448,0.04237192458956419,,,0.0007295525220652124,0.003057546759957928,,,0.04450301008042125,,,,0.08306650105507972,,0.015307434882307978,0.0012798558166578471,,0.008665107729194025,Control
18,0.002561818395316052,0.06102737469499337,,,,,,,0.1497088181862148,0.00301606586154105,,0.0318958657624527,,0.02319388168342758,,,0.0858033985868552,,0.001928355714032289,0.0004803977426758276,0.0391278812127226,,,,,0.0007779454828325452,0.0034292200362004634,,0.0028820835570999358,0.00032793860197795035,,0.0014439193186227429,0.5879359586797361,0.0019465296513340225,0.002512546831964684,,,,Control
19,0.005502066094307159,0.024741765125222134,,0.00013974575295432057,,,0.0029233827248617322,0.05898675409166439,0.1382621718499559,0.01033349611372495,4.326684354124966e-05,0.028002772768996983,0.026213145389820412,0.16153296682284082,0.03209497543786403,0.011297875095594602,0.0863603121241385,,0.03744447977105893,,0.032162438904807515,0.08479798946565141,,0.003445865745445164,0.000713390278104301,0.0010754168765501602,,,0.028788957973438455,,,,0.18873366253728044,,0.023220248636709948,,,0.013182853575466343,Control
20,0.017957066316454738,0.1517148029774726,,,,,,0.062241905911378514,0.19559931946119885,0.0612312919476637,,0.1017482488879156,,0.0133061025519366,,,0.01381728275732742,,0.02494850965904049,,,,0.053319430574197794,,,,,,0.03250734834655123,,,,0.17733464306218127,,0.0942740475466811,,,,Control
21,,0.007663172302161111,0.0008641367864020908,,,,,,0.2275553463129793,0.030601524545185575,0.0021529605026998962,0.031886303624055805,,0.04843665662989888,0.052335080414470166,,0.023554957218858766,,0.009961133056639685,,0.008554104811520906,0.007352038568044653,0.07274108516408789,,0.0024361862385660626,5.874835863557392e-05,,,0.02059883283897752,,,,0.37419266509047144,,0.0790550675363446,,,,Control
