,taxa102106,taxa1263,taxa1301,taxa1350,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,taxa872,taxa946234,condition
24,0.0022968173724119247,,0.0008403192488107301,,0.003000207982380329,,0.02366141379958951,0.05865962813413289,0.002758252384546992,0.00041088949340961005,0.032482228278477646,,0.1281515338079088,,0.011066257717513526,0.02540585565691359,0.00021688999223587685,0.0035205782407342185,0.013945177170329283,0.028434961589548842,,0.008042434205892613,0.02479578781819854,,0.01048788440488452,0.0012276967898623918,0.003108652978498268,,0.0003267850647106932,0.0002451664811949955,0.6135687373480837,,0.0030686723018014915,,,0.000277171737928943,Control
25,7.33954085260401e-07,0.0028708397066181572,,,,0.000339206324273895,0.006844358717084491,0.0007291993251204657,0.001199017564079299,0.0017840970414716398,0.003249221369363414,0.0030415670927106293,4.912152238725417e-05,0.0037240483612879386,0.0013109165114408624,0.01002057096036265,,0.9269922940596128,,0.003731876291052335,0.009839291334602977,,0.0003998311420236852,8.277619346605972e-05,0.0001247829107883732,,0.001735229856352393,,,,0.021899168860638515,,3.185090117688221e-05,,,,Treat
26,1.1100918836586188e-06,0.00024747715427559313,8.052798558173075e-05,2.469530393691779e-05,0.0006900267364964584,,0.00029872073532250285,0.00013771344851707109,0.0019337652795536641,0.10188085517637772,0.0007509576155563368,0.00027978656846712544,3.4667606482771153e-06,,1.6243435209844322e-05,0.004624839456876051,,0.8764232812764992,,0.00030687546803964016,0.0014394712732467806,,,1.7180239018948658e-05,,,0.0009224329896339829,,0.0005020154156761973,,0.006910723288871165,0.002454962475426852,4.322656770654792e-05,9.64525717777782e-06,,,Treat
27,8.908528691258345e-07,0.01177838125456213,0.00011884225032358101,,0.0035954884442476165,,,0.0008515806462934856,0.0013326257274175544,0.007236845583601894,0.003606157861877412,,3.1638780654423463e-06,,,0.0077577453887576284,,0.2449257982036428,5.866509817753358e-06,0.0005921670584845063,,,,5.665335255418895e-06,5.483629199116798e-06,0.7044360074715829,0.0005675857245673626,7.514194378292713e-05,,0.00017404195442735315,0.012927217795532128,,3.302485691914103e-06,,,,Treat
28,3.240310901964511e-06,0.007571205070910718,0.00018589062448386807,,0.05797848870803467,,0.01682378845093838,0.0009047187209002839,0.0026127727699989177,0.04412176958383529,0.003138427492189804,0.015692286794676914,5.4338938666124816e-05,0.011019171514281566,,0.007461041579842474,4.1848297261260775e-07,0.3456285700299973,,0.0010473969007109205,0.007464730122921486,,,8.79276989846574e-05,0.000395988246259538,0.46054801588571626,0.000622337322748322,,,0.00013108514634635235,0.015779049690583993,0.0007136210854924971,1.3718827605020749e-05,,,,Treat
29,,0.007778494280401342,,,,,,0.0018955741190123292,0.0027831898031359993,,0.02598049147684906,,0.00010618031822375018,0.005726669760561517,,0.08588866028022149,,,,0.036700254815996064,0.013205145090106476,0.14019971798567193,,,0.010566548060633021,,0.0007748762533273242,0.0015322633300738004,,,0.6667981982496761,,6.373617610967808e-05,,,,Treat
30,7.428331856574781e-06,0.05979424619459017,0.0002872526697633241,,0.02168368140885806,,0.012140174661842586,0.002610377730283161,0.004925206088759888,0.12477334959414776,0.005434051327259246,0.12238623724459224,5.74742184084195e-05,0.023140419296901613,,0.03356882937251331,3.6162577392166265e-07,0.5604446670787635,1.9928128284252927e-05,0.0027324956436276045,0.007833644506229082,,,,0.0010810495982653495,,0.0018443425172096936,,3.283005051364554e-05,0.00023239895582625677,0.013436982201593733,0.0012251484557764317,9.144051383512655e-05,8.827820780878771e-05,0.00012770437671640844,,Treat
31,4.466032926959411e-06,0.02513957705350025,0.0010448603787239627,,0.03946109979731519,,0.015616526687393419,0.0009827112637825798,0.007237273673154115,0.1053539150211869,0.003425586816627159,0.03704920041491258,6.247345444666086e-06,0.008561095410900334,0.00010213915122610074,0.028829519165250627,5.945741949389767e-06,0.6522030706648738,,0.0006565498029865456,0.0019812598869105007,,,0.0001983284489827199,0.00017372332578080124,0.06400835053503891,0.0010793251746987209,,6.823738197811708e-05,0.0030050891863569206,0.0029872602851619117,0.0005494317813224414,0.00020760456173360184,6.160500988081764e-05,,,Treat
32,,0.00043763595868860996,2.1469998123177895e-06,3.039032320897889e-07,0.02024807571665777,,3.072702175388413e-05,1.1875531142495621e-07,1.6644714430932107e-05,0.00015384050764151019,8.948747690241052e-06,,1.9250374486782414e-06,,0.0009163994260019753,0.0001829431866554898,3.973335584533969e-09,,0.00019615751136592638,0.0012046199395034187,,,,,,0.9645373846212681,0.0005094693565932309,1.265899074676171e-06,9.316055193774032e-06,,0.01147013879365996,,7.073491348142911e-06,,,6.486038333219913e-05,Treat
33,6.310584859718674e-07,0.0036652822508904392,,,,9.009746871822363e-05,0.0044046271896719,0.0008413671909414922,0.0011784564122636295,,0.007724215803977406,0.0012365051098627289,3.530825258681128e-05,0.0013531366512462457,,0.01908042355875485,,0.9081874352460462,0.00024706426528499906,0.0029555607708190872,0.010422982187108661,,0.001031118683415979,6.746121956741852e-05,0.0003610250757419223,,0.0015940762627037596,,,,0.035270250071932074,,0.00011265436496184554,9.975466770091406e-05,4.056623731745047e-05,,Treat
