,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa872,taxa904,taxa906,taxa946234,condition
10,,,0.025707658418531943,,,,,,,,0.06300396268038466,0.009706022994451759,,,,0.05001817250480765,0.02764278186690105,,,0.006154124327500767,0.17899258444234936,,,0.0127770040076809,,0.046885062403753126,0.004233899697908712,0.06998532618379223,,,,,0.0526133034897493,,,,,,0.43524213215677937,,,0.017037964825409153,,,,,Control
11,,,0.01936493638153031,0.00028737195830986833,7.178835612531691e-05,6.250066925978885e-05,,,0.0014354393217934369,,0.054297565686345854,0.01903713566862932,0.000274041395985228,0.0007202874331477763,0.005737058810288834,,0.0035817691229648218,0.00025164168060366033,,0.0009328115620119183,0.08367998258722614,0.0009058226366497368,,0.014670502372075228,0.00037533181627163396,0.09334912021566663,0.0053999704105223145,,5.747439166197366e-05,,,,0.00019252828537718168,0.008617115873836937,,,,,0.2401173002071045,0.3317878622389095,0.04253716877650132,0.07225547214120083,,,,,Control
12,,,0.1673469665306067,,,,,,,,,,,,,,,,,,0.25354194929161017,,,,,,,,,,,,0.11180197763960446,,,,,,0.42369391526121697,,,0.043615191276961736,,,,,Control
13,,,0.026030890235264937,,0.00038404747172647596,,,,,,0.06862434907768583,0.015973729728651898,,0.0005324780045076491,0.001110533033474493,0.030796029183131537,0.0236380964511572,0.001088965334400053,,0.02115984574618847,0.16852715200364946,,,0.016019510221970287,,0.04651389682134845,0.00851242492762104,0.07574036722466645,0.0012429912608090288,,,,0.08710318740071991,0.006216075382770706,,0.0003563757068762505,,,0.3668085726313631,,,0.02327968605568902,,,0.010340796096327856,,Control
14,,2.5087272604524947e-05,0.09298638383180352,0.0002751441523862126,,,,0.0760879641362141,0.003604408792415975,0.00134227106512503,0.10524110857598214,0.033570951956955135,0.005893979350319185,0.0011752265426607544,0.009156650539085716,,0.026173877846806304,,0.0004242400570521292,0.0013082094836213256,0.07315805624219784,0.0003998666499282208,,0.014313512790276827,0.00033225339083553767,0.06637296881050328,0.06828949366439287,0.036458333864483244,,,9.708570536385265e-05,,,0.038677435701371304,0.018094144375622147,0.00015113552032482099,6.934693240275189e-05,1.9478329542537663e-05,0.2998877497522122,,,0.026413634667510517,,,,,Control
15,4.246820796741823e-05,0.0021708097489696173,0.01086018751424622,0.0004575899090707361,0.00010164191954287298,,0.0016451901986998887,0.00022351158743041678,1.4390885638248357e-05,0.004473351451089355,0.12306219931980422,0.002020862758752904,0.0018860111031217652,0.0,0.05622056095269675,6.772773450728073e-05,0.009588254622065655,0.0006797932341704032,,0.003814691685338757,0.02070697489998083,0.0023679548186572295,,0.018603993521082395,,0.008408705177548811,0.0018219062489150228,,,,0.0006232360472564479,,0.0004543695710258135,0.0032111802086074595,0.0002962711001328892,,5.474574676368605e-05,0.0015123512543468271,0.0560143586822578,0.07855682563228066,0.5397155737057385,0.0266635939274488,,0.009011210298641065,0.014647506326203135,,Control
16,,0.0011204177498366206,0.014275439081469858,0.0008702784435852921,0.0010758114279373744,,0.017187999260809533,,,0.00017104147467488718,0.015974727534774476,0.008088815333974413,,,0.015650952395546612,0.0029511987620279025,0.02692026928462283,0.00032974287843887183,0.0016398133574389543,0.00396035357742196,0.17799136215265865,,,0.002516160688357477,,0.01988339442174175,0.04727046229041225,,0.00641805065113598,,0.000773580838742482,0.004569467569433888,0.0005043245373914769,0.00042279915088174353,0.019400715582505463,,3.8840878932676926e-05,,0.17483756370182305,,0.41481856403854517,0.007484354155584625,,,0.012853498779293891,,Control
17,,0.001609377291616049,0.011410495049883158,,,,0.0023601854734449233,,,0.004770129957467606,0.10319717224066433,0.006036722953992418,0.0,0.00017340261261946814,0.02061651514629099,,0.001748903567741163,0.0020293634455430852,,0.0014120501446177793,0.028072928012181808,0.0004496405137663077,0.08227315646132817,0.012042082652832792,0.0008065985876281808,0.007311860427081086,3.407738300173895e-05,0.01079197546991354,0.005374274712159203,0.0,0.00029071324967855177,0.0034801150428324557,0.21792134598224136,0.009068001669088102,0.001035288989778494,2.3924534378801978e-05,0.0002543238318418866,1.236436020417077e-05,0.021875568898788864,0.011468295920756311,0.4003790932943249,0.03158842724031401,,8.162488199826559e-05,,,Control
18,,0.00012025584593045194,0.005564540113550959,0.0019732803238936046,,2.733073271808735e-05,,0.007543296002404176,0.0062368795148291896,0.008740378896749083,0.0003061040731631067,0.0,,,0.0038700360178242615,,0.00788765683723744,,0.0011478916626894795,0.0014922636041453778,,6.012770083277325e-05,,0.0,0.00119161843600793,0.004088680991039149,0.0038645715594872836,0.011396949751840144,0.00036623199612833266,,0.0008855165841693503,0.0034108771314239417,,9.292466894745917e-05,0.0044549107658429545,2.733073271808735e-05,0.0,0.0,0.038995574207910985,8.745843355086062e-05,0.8762680995002436,0.0003170374324861147,0.003531139641327976,0.00012025584593045194,0.005930780994977402,,Control
19,,4.799293543990325e-05,0.015072524181583329,0.0003862640210569795,0.0010917074325340627,,0.00018944024626388185,0.02608062686579129,,,0.19163631860642855,0.010278504586542444,,0.0011822083965064515,0.0094625192050851,,0.01003200021264562,,,0.005095583995969858,0.0665660959761668,,0.03034946662444695,0.04128816414048028,0.0001295281861982443,0.04770128606299922,0.00580134384438391,,0.0026956207870377307,,,,0.0004531376937358777,0.00940366193480935,,,,,0.15806552396366375,,0.3533398125554161,0.013650667544814324,,,,,Control
