,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa32207,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa570,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84108,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
14,,,,,,,,,,,,0.022121916580943018,,,0.0011660689577160615,0.13859353311072262,0.006394726977609031,,1.7047791779474584e-05,0.03309156890426623,,0.019314546399376017,0.00019875719592305066,0.0003628171215184649,0.0013949104920734788,0.1500265845270632,,,,,0.04390087170373426,,0.021822176289008607,0.015702520445817807,0.07302672311558223,,,7.9121810082385e-05,,,,0.02616695644569987,,0.00019875719592305066,0.0024097555085927894,,,,0.38445076928661814,,,0.05955987013995033,,,,,,,,Control
15,,,,,0.005633792676069522,,,,,,,,,,,0.004109494657656945,0.051694132797627364,,,0.01357938234680295,,,,,,0.015588379735106343,,,,,,,0.013887281946533473,,0.15577179749666326,,,,,,,0.025279767136302724,,,,,,,0.3655245248181178,,0.25009967487042273,0.09883177151869704,,,,,,,,Control
16,,4.65640100435302e-05,0.004570625196378096,,0.07892283148801317,0.0005220070599616807,,,,,0.015259209896567653,0.0009555833464634992,,,,0.048710345409988455,0.02057230640221441,,3.7680087074698775e-05,0.03627346593796714,0.001207294497247056,0.0470233190724245,0.009284107958657284,0.0010983387983074802,0.007666621293987289,0.4402994760221387,,,,,0.02675245336680768,0.002532020160174068,0.04204393130542304,,,0.015388486292872715,,0.0015302812598954902,0.026647786458266855,0.007164526475162645,,0.014015767023102593,,0.0003982448227407188,0.0007547249961222188,0.00010068446031342274,,3.5229349703986666e-05,0.1170451745440684,4.411327267281808e-05,2.736656730628529e-05,0.032821091781033554,,0.00017614674851993334,,3.277861233327455e-05,,,3.9416026045619874e-05,Control
17,,,,,0.1082062453094156,,,,,,0.05636128907706014,,,,,0.07133250623043326,0.04579138620663141,,,0.003234518355332766,0.03137415945563314,0.010699964731819753,0.003807312882246065,,0.013530507811651203,0.10634359230652227,,,,,0.007798592782893428,,0.03910265464094151,0.02670154344254212,,,,,,0.007033891718329259,,0.013864594424284567,,,,,0.005946073113779162,,0.42769249991224745,,0.0026548289827553646,0.018523838615481562,,,,,,,,Control
18,,,,,0.3912093818557924,,,,,,,0.04179264282800466,,,,0.20464617285510395,0.013676840765204132,,0.0016741383316220065,,,0.0019565876101343407,,,,0.0601907121512078,,,,,0.0014152443378984188,,0.04439218264339547,,,,,,,0.002568596736736501,,0.08576811106959195,,,,,,,0.1418563491664106,,,0.008853039648897772,,,,,,,,Control
19,,,0.0020588497386852325,,0.05506931070566542,0.0019497562350570406,,,,,,,,,0.00546143675841521,0.018475857789301383,0.011307677891792768,,0.0029061661646448034,0.04027003518341181,0.0014032795263182276,0.10318570186834483,0.0010388608014325663,,0.010296267074621874,0.1838008560156489,0.0223360118260991,,,,0.004194397962807491,0.0004456585680130379,0.02895670582427105,0.014251587784797369,0.05432684918282305,0.017768617018324172,,0.00018104879325529663,,0.0008398484155354396,,0.009250140100884749,,,,,,0.0008549862745032737,0.3572020029203957,,,0.0521680895749501,,,,,,,,Control
20,,0.0,0.00450036304942184,,0.06123604736435786,0.005316368474825957,,0.0017281595468305567,,,,0.0013218180419655337,1.3591700484831058e-05,,0.012782339890775084,0.02290161259988893,0.008597606330389876,,0.0031037403151583107,0.11126468054671255,0.006281882605563214,0.04530234586709613,0.0014803878809552288,0.0001518243283787055,0.003807287003958305,0.06597300668147861,0.001164859071181447,,,,0.1303142038706747,0.002912953112056423,0.017332639854570817,0.0068648155374681896,,0.0023553913543897967,,0.0028439878170037607,,8.638280752581519e-05,,0.012521379241466327,,,0.0013204085322856248,,,0.0,0.3824543429610898,5.617902867063504e-05,0.00031713967797939135,0.0830743862692816,6.83612194755577e-05,0.00010601526378168227,0.0003817757647294769,,,,6.171638812741807e-05,Control
21,,,,,0.027119539666779123,,,,,,,,,,,0.04955784976652645,0.012317272630972346,,,,,0.006451453796127858,,,,0.021169746522454236,,,,0.016015368027036615,0.00032153731882828885,,0.09688907961451318,,,,,,,,,0.009154968708903838,,0.0018384858734816205,,,,,0.39506218573369095,,0.20413249335437514,0.15494977045981503,,,,,0.005020248526495403,,,Control
22,,1.9575176295147647e-05,0.0028727075727982133,,0.05589479694841165,0.0073094111897963705,,0.0003731391852549279,,,0.005725537260389498,0.00040270375563883647,3.945306150207593e-05,,0.012510353906070033,0.1793964004479688,0.011442598671249143,,0.00032188047619340716,0.04967473422914318,0.0014932630618138664,0.024681875636886938,0.025296980145625193,0.001031127456495432,0.007339480275033245,0.10971785410459663,0.00020220955306946334,,,0.026930901948446457,0.15245026215096275,0.0047824980972222325,0.031443181890419176,0.007754191484172715,,0.0,5.4184895208733445e-05,0.0025949216947541856,5.216683579686254e-05,0.0016748884088822464,,0.009291650047106552,0.04195222627773684,0.0007434530873332365,0.00025699986610175807,,,0.0005433624966462376,0.1811904552651221,,,0.04240548242164304,,,8.62720398574806e-05,,,,4.68189783554047e-05,Control
23,,,,,0.06023067453074617,6.178192691950981e-05,,0.00014006653882586703,,0.0004340206151540857,,0.04988410989467987,0.0014669855535495626,,,0.21259068225400277,0.021673698185694815,,,0.0037763300338965154,0.0017479437654506396,0.007839394219439506,,,0.0040673961403520364,0.2790851571550692,,,,,0.08547256263594087,2.846713160231171e-05,0.012761732583891402,0.005235476812077327,0.022676236298645795,0.00031582013393579135,,,0.001975474534706797,0.0011834487971192917,,0.004748028754278322,0.004548655691280973,0.0008092504150425275,,,,0.0005196282935233565,0.14679241437581897,0.03758806245276107,,0.018351913981404774,,,,,0.0011887090279588492,0.012805877266231216,,Control
