,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa946234,condition
10,,,,0.12200394927798873,0.13159441523029344,,,,,,,,,0.07016345776315429,,,0.02236854216626975,,,,,,0.19931970721177958,,,,,0.015736739743260796,,0.0211652432075416,,,,,,,,,,,0.3961182368508153,,,0.021529708548896496,,,,,,Control
11,,,,0.10503743102098728,,,,,0.06612476979224335,,,,,0.06576776812304184,0.07556802631398067,,,0.030979267659189635,0.0009847747327798768,0.00564912442945343,,,0.10284772358323034,,,,,0.013172715907902735,0.020267134726264704,,,,,,0.0065608950285955415,,,,,,0.4347713793803001,,,0.07226898930203052,,,,,,Control
12,7.453301731872619e-05,,,0.056731038416619764,9.139888980141898e-05,0.0,,,,0.03454080187831283,,,0.010750024339372862,0.0003526684234105581,0.0037016045403332684,0.000631106809247588,0.05306296363475508,,0.09436576845964693,0.00011331442470407966,0.001639827374260376,,0.06483503964792946,0.00020037060482432626,,,,0.00011654620865285909,,0.00413567352195371,,,0.007277472486409338,,0.0006243402616048311,0.04301423641226735,,,0.0033990287681287925,,0.5429326338675606,5.797012458123147e-05,,0.07219350871955509,0.002378996959295277,,,,0.0027791322094535336,Control
13,,,,,,,,,0.12567600000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.693369,,,0.18095500000000003,,,,,,Control
14,,,,0.07589884874302147,,0.011011870641888879,,,,0.00022577599590935214,,,,0.06665095963825289,0.011994412470377558,0.00010641862801413712,0.004271088064774743,,0.00814659171023963,0.0009519502341962068,,0.0030047966616847505,0.0034761078144071164,,,0.010111976268144451,,0.03298626417356206,,0.08218797902800776,0.0040641685269866504,,,,,0.005397761437520079,,,,,0.6736018312429245,,,0.005911198720087815,,,,,,Control
15,,,,0.05701061171581182,,0.0003901575127707296,,,,0.00010568669549683306,,,,0.19844225323628706,0.020158544256633697,0.001252199521861613,0.005337533457301155,,0.009579316189821023,,,0.01813811108940749,0.08967571951218027,,,0.005765965594665838,2.862982529309023e-05,0.07163588385143843,,,,,,,,0.03781563367143601,,2.5584099198080632e-05,0.00039442152930374303,,0.43671854282717293,,,0.04752520541392028,,,,,,Control
16,,0.0004162578756072269,6.196087360927125e-05,0.04224858168169415,0.033162630955282546,,,0.0026882593289647666,0.018487049047117805,0.0004365004827399408,0.005274483587458545,,0.0004162578756072269,0.21826565452260946,0.01108339255409092,0.002824306089592752,0.016401135723289932,,0.08508964495083618,,,0.00882033072926407,0.04682988441779591,0.005706257370055821,,0.06129163452168056,0.00017601820313877556,0.02003411855468196,0.056690500195849806,,0.0011545478870211804,,,,9.843866818852711e-05,0.039373309434041374,0.008856191997737763,,,0.0013032334328132455,0.2926454189849761,0.00019215063623439005,,0.01997184941801991,,,,,,Control
17,,,,,,,,,,,,,,0.06762440676244066,,,,,,,,,0.027983802798380274,,,,,,,,,,,,,,,,,,0.306365030636503,,0.5231790523179052,0.07484770748477074,,,,,,Control
18,1.3493924667098743e-05,0.009314079274762885,,0.06651595043231671,0.000462371373252179,0.000244526271240153,,,,6.399391546669556e-05,,,0.015282380818999446,0.030138374063858973,0.014706844486607277,0.000113982772756175,0.05677568803681796,,0.0344399714583048,0.08138502869503526,0.0003420505449705485,0.004763968767697997,0.15790243074652072,0.00018922162544545283,0.07728543126378783,0.06767816580762161,0.0008572731231688642,0.014614533774680081,0.007322805346047609,,0.00019187951969806317,2.3307688061352373e-05,0.0013911009611354524,0.01930111692894631,0.00013033904507993104,0.008419800085461521,0.011505921992848219,3.557489230416941e-05,2.3716594869446272e-05,,0.08034292969460795,6.71629432294233e-05,0.20081720025597563,0.03641948931628738,,0.00019300401342032142,0.0007248895440484637,,,Control
19,0.0001215129200717688,0.002523999804296023,,0.03714886575910283,4.1206113984733475e-05,,,,,0.02602161085226675,,,,0.09465074459748744,0.0071826968810079685,0.002527208066212109,0.029578771251727438,,0.06614513695669086,9.925560302892005e-05,0.000307090820280386,0.02161666724148025,0.07116205652797081,,,0.0006740357769327571,0.003916485734062356,0.09831117092737214,0.045770768884030144,,,0.00031471044233109086,0.010637794448263163,,,0.01438775133724367,,0.00015439760471165344,0.0005313683798517942,,0.4180365276660456,,,0.04764068429018408,,,0.00017414846713255968,,0.00032333264623057287,Control
