,taxa100883,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa133925,taxa1348911,taxa1350,taxa1357,taxa135858,taxa1485,taxa1578,taxa158846,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa29521,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa674963,taxa724,taxa816,taxa830,taxa838,taxa841,taxa84111,taxa846,taxa872,taxa904,taxa906,taxa946234,condition
10,,0.0004233870823795394,0.01559627048100587,,0.1389701035273723,0.0016309225360753637,,0.003432689052633919,,0.0,,0.0008747211800739412,0.0,,0.10343863544311878,0.11612800834575393,0.007246232686237532,6.558368922429387e-05,0.00025570499049036506,0.19317201377726653,,0.07449572721754723,0.0033067234909045216,0.00014310095798084651,0.0020627753201743694,0.08091670698074624,0.0002549910156465547,,,0.04585279042278225,0.0001973630461104333,0.020164383528110764,0.02422812434626679,,0.012060259068831968,0.0005708738858295067,0.008933559234973914,,0.0011412377896277204,0.02569911651732863,,,,,,,0.07207565848624889,,1.3973507657431198e-05,0.04634482108657384,,6.395174672415592e-05,,,,0.0002395895583015028,Control
11,,,0.002393239099543789,,0.06287262855691722,,,,,,,0.00035519434755589826,0.0019080498705363472,,0.018140119066145103,0.26101888904791043,0.005494991968024592,,3.479029679873021e-05,0.06393977403806393,0.01870436768218918,0.01980349107087241,0.010513856850219857,,0.002706039283036564,0.19643393208059096,,,0.07097085135606117,0.027673285364388782,,,0.022844725488933872,,,,0.0009522541716586576,0.002112312661022305,0.018449065234723047,0.0575709623100257,,,,,,,0.08320526545933919,,,0.0519019146954422,,,,,,,Control
12,,1.3493924667098748e-05,0.009314079274762885,,0.06651595043231673,0.00046237137325217894,,0.000244526271240153,,,,6.399391546669557e-05,,,0.015282380818999446,0.03013837406385898,0.014706844486607277,,0.00011398277275617502,0.05677568803681797,,0.0344399714583048,0.08138502869503526,0.0003420505449705485,0.0047639687676979976,0.15790243074652072,0.00018922162544545286,,0.07728543126378783,0.06767816580762162,0.0008572731231688643,0.014614533774680083,0.007322805346047611,,0.0001918795196980632,2.3307688061352376e-05,0.0013911009611354528,0.019301116928946312,0.00013033904507993107,0.008419800085461521,0.011505921992848217,3.557489230416942e-05,2.371659486944628e-05,,,,0.08034292969460793,6.716294322942331e-05,0.20081720025597571,0.03641948931628737,,0.00019300401342032145,0.0007248895440484638,,,,Control
13,,,0.0017572022156046056,,0.0015520111847348713,,,0.0005646140199351057,,,,,,,0.001120995388047607,0.10921915277467464,0.004412805587698792,,0.000593271985140376,0.03931706088910972,0.003670512183491011,0.03737561400993087,0.023281939354326663,,0.009847293687661109,0.042166183684426414,,,0.09234117443050892,0.013004255134673678,0.00014328982602635114,0.09359441330163104,0.01211127293887746,,0.0056098748470185715,,0.00010389815021692516,,,0.020433129191357674,0.006868636889616604,,,,,,0.2066874977073628,,0.22048708953456966,0.05373681108335863,,,,,,,Control
14,,,,,0.07987366613933189,0.013360611849724105,,,,,0.008682029894703595,,0.001831756562198652,,,0.0817879871236563,0.008246559189476805,,,0.00041282211062870745,0.0005149466826346122,,,,0.00543030939936236,0.011442996524367262,0.005007089524849986,,0.022328219932678087,0.05352552656180847,,0.007880784386717753,0.007981570632679225,,,,,,0.00020002826956398476,0.008262722050167256,0.00260469132693689,,,,,0.017029169433827342,0.029934338635815436,0.19006700586711844,0.4051905637307259,0.038404604171026965,,,,,,,Control
15,,,0.0014207752408047624,,0.04040736737207214,0.0018627761655973308,,,,,0.0062927294196363495,,0.005203556341876147,,0.0010478750115548337,0.10207522275334714,0.006112519676194751,,0.003110951871720698,0.051668954295419976,,0.01616712749017446,,,0.011135663335729028,0.06335610409263835,0.002912173218904205,,0.036671972504214286,0.25297044205064484,0.0003719870041987045,0.010475198684793576,0.00011648692875616821,,0.0006250518128379758,,,,,0.01877245709186729,0.015131936159886632,,,,,1.877184827516648e-05,0.11860662556951,,0.1863131308672807,0.04715214319206452,,,,,,,Control
16,,,,,0.4102091399234388,,,,,,,0.060681527788991545,,,,0.21684111013284357,0.038710557984136695,,0.008394410974025504,,,,,,,0.027836409749695944,,,,,,0.046108011840027205,,,,,,,,0.03970890347319142,,,,,,,0.13853699025961685,,,0.012972937874032467,,,,,,,Control
17,0.0001153852182535168,0.00031106479522157555,0.005936928477850539,7.988985312907825e-05,0.0378526214237282,0.003320687477467775,,2.679849503696929e-05,,,,0.0029283170595679983,,,0.051413468923605585,0.13027001253461684,0.03178554327375472,,0.00036314488935002535,0.07115566740134995,,0.06949830689130884,0.0024897318785289954,7.685606123810058e-05,0.004943665012744455,0.07285125368921735,0.0007014126851940339,,,0.019298051344905233,,,,0.02728268822276932,,0.000254838518842123,0.002385369437479364,,4.136069611366203e-05,0.06572517991649994,,,0.0016132694012255511,0.0002641421473077878,,0.0004911709071492823,0.3898655170617928,,2.7000747829701128e-05,0.005765114730424837,0.0006986822724921539,,,,,0.000166858554003771,Control
18,,,,,0.03457217262054456,,,0.007885345618114608,,,,,0.006452487744659176,0.39801641127245907,,0.10487505648341029,0.011971465164573447,,0.0021344995237890223,0.0020632791240132254,,0.0055201845453342,,,,0.029142924856844988,,,,,,0.017596870809011435,0.008534879687821274,0.015420624864449879,,,,,,0.001645814916287864,,,,,,,0.3326012788286699,,,0.021566703940017133,,,,,,,Control
19,,,0.001786525198787307,,0.05631184611722567,9.680628113463088e-05,,0.0018393193415579868,,,,0.00022802576558399878,0.006021289416775854,,0.02168869162736975,0.013306370537478072,0.005134204855366004,,0.0006377164827908964,0.027765634444164987,,0.1304148077665188,0.0,,0.005416862857666275,0.11218500047943616,3.788515854530386e-05,,,0.012699799535431966,0.004938141501169283,0.06659710502245897,0.02444695582539455,,0.0015820883055051016,,0.0019939234656485253,,,0.00304510896986782,,,0.0008209131793684575,,,,0.1623169705189133,,0.3354082350489183,0.002652063214501581,,,0.0004401213836395138,,,0.000187587698780925,Control
