,taxa1017280,taxa102106,taxa117563,taxa1263,taxa1301,taxa1348911,taxa1485,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa838,taxa841,taxa846,taxa872,taxa946234,condition
10,8.474947996459304e-05,0.0026962932524411,6.940295251154511e-05,0.019080314677109637,0.003459954782716649,0.000502426984600905,7.409853180688067e-05,0.0032544945569646486,0.18286761776197924,0.00408343609207779,1.8438738208512814e-05,0.08968670980415197,,0.03326462899139987,0.0004148143465294,6.928842618726863e-05,0.00627810404418792,0.11035699344119192,0.003613763636219958,0.12801408948651777,0.000874752064823732,0.034545147823135156,0.017936425750236178,,,,0.0023112557502235837,0.0001055932709829119,0.009486902597766257,,0.0017640489728305761,7.260968959128647e-05,0.0002147368580183945,0.18080385339851715,,0.16283810890926617,,0.0011442325058462824,1.2712421994688957e-05,Control
11,,0.0017785526406125074,1.0763273912049841e-05,0.039600488171945704,0.0010147781840768543,0.0008437152773387418,0.000628449799097745,0.0008671227856523259,0.15643216906407273,0.007447663058113634,0.0010841647265778357,0.057130203951500876,,0.02085243248422946,0.0021913189702493703,0.0005545698509829951,0.013003288859415861,0.09852700939090425,0.0008819614739582588,0.31583939063567995,0.003080595290555624,0.021453712854034645,0.004639493545118337,,,,0.0011609706132317836,3.563375149523296e-05,0.013205492112035441,,0.000435024362095762,0.00023804599972475279,0.0001822441718700478,0.1922383419375084,1.661515099044587e-05,0.044136319894532455,0.00016824146600388583,0.0003212262524819534,,Control
12,,0.002586140893636449,,0.05333318074669958,0.0007799134955315748,,,0.008108831808884838,0.01924272739020548,0.01006950253651648,0.0025896854946419814,0.05259408079988886,0.001936769989422911,0.11216231598963437,0.0013435050554112288,,0.01058964741549975,0.17784782359472773,0.01900635314029369,0.004675430000611698,0.0009419523986416279,0.03008940901576354,0.015752814514472708,0.054968963473595554,0.023077175483676004,,0.0005774661409584519,0.0011513876809113718,0.009850446194374576,,,,0.001041707598368754,0.33651631752009187,,0.04916645162753899,,,,Control
13,0.0002759833484437021,0.009032038890092575,,0.039289132524595545,0.0026919945897166753,0.00041691996693248284,0.012784213415903958,,0.030886575471559194,0.009486086190104567,0.0037542780574306195,0.05226276896281166,0.07662187546672106,0.004266277653552549,0.00034087729889711833,0.0006128639372642731,0.010836343136491856,0.3392312854050666,0.0019528135787173079,0.06332124503829477,0.001969431478509269,0.13085965026683297,0.008314944961095182,0.13123197536343764,0.0007313979440081955,0.001979843960024485,0.004307612049870528,0.002842186747330092,0.013080180314730398,,,4.7644991175684836e-05,,0.040740884871610934,,0.004783851608465451,0.00012084789152508145,0.0009259746187874823,0.0,Control
14,,0.0003583035125209414,7.166081984071532e-05,0.004935643674657418,0.0081782855348378,,0.0005284989716701862,0.008384316742719384,0.0006718196726594003,,,0.005356647133783292,,0.008294742037954418,3.583035125209413e-05,0.0003314311010914519,0.005437269061532845,,0.002418552229612166,8.957599546676242e-05,0.003287440946215571,0.027992505916896185,0.01514732428900128,0.008097675340740955,0.002938094904171127,,0.0012003174709643157,,0.00011644887624236006,0.023209165054375175,0.00029560121918546615,0.0,2.6872763439070597e-05,0.173105405020572,0.6989889455023761,0.00046579550496944025,3.583035125209413e-05,0.0,,Control
15,,0.0009707272778785699,,0.01516512711986161,0.00012578664374911718,,0.10538248282339173,0.0,0.0049962012835462035,0.00023117816874338546,0.00010509011929838379,,,0.030451318860903482,5.576005373862621e-05,0.00013804380871508545,0.014143663216509157,0.06169664079333194,3.004010102315178e-05,0.004322559553244422,0.005612374994499348,0.06645432970286823,,0.0548229834301214,,,0.010286775463406232,0.01519597096940712,0.06487878166191482,,0.0004658727372720896,,,0.5409297883468923,0.0,0.0031795286858852315,,4.400523159913202e-05,0.0003149689521992669,Control
16,,,,0.027021264555974568,,0.0015598790656691202,,,0.05742743738051065,0.006817713322581818,,0.011043442586507251,0.003304676100514537,0.03789595686459963,,,,0.2201008863936752,,0.0023681625823036537,,0.019285731608240674,0.042254665389419056,,,,,0.1658229152772557,0.057883265226933774,,0.0004077289648231456,,,0.32312848868463706,,0.023677785996354183,,,,Control
17,0.00016964999475794823,0.010766375678190445,,0.033080315604277516,0.0004210022802925064,0.00032558055723009996,0.016775794170838465,0.04136122159463213,0.05075585881188896,0.00733016980971352,0.0003339760307184231,0.1563738844258643,0.0021899899745760495,0.035734001913348884,0.022942064680365894,0.0008501952664272796,0.0058775481285875284,0.20698527966346023,0.0002910772088695516,0.016632866353890913,5.487772914318665e-05,0.023711786261892902,0.09291055503499071,,0.01593338007496134,3.900823657379499e-05,0.0023027145637302443,2.4879268995884985e-05,0.018550822510680683,,0.00017999076088380997,0.0008558263766938381,,0.19390165091866957,,0.04228482606217074,1.4128967577909993e-05,,3.870108510470998e-05,Control
18,0.0,0.0011115520912694393,1.9529465732405958e-05,0.031194632608435725,0.00038017359959083595,3.081315704446273e-05,0.001548795129611639,0.001297624500886529,0.1154723060241241,0.006726164992304305,,0.08146673231460407,0.000310410008113408,0.027303495058285686,0.0017035118970250328,0.00011554933891673523,0.002278220674717002,0.27141508989738566,0.00015601873179555426,0.14371733832477546,0.0009306875391809907,0.0101009651678959,0.003554362763297884,,0.006888259557883275,1.9854956827946054e-05,0.004052689630569777,0.00011001599029255356,0.006515246762394323,0.019792137046506817,0.0002869746492345209,0.0003160518537694364,0.00023066468970608367,0.1945340931308142,,0.06581278055976222,,0.0005820865758575443,2.5171311388434345e-05,Control
19,,0.0002117328974706688,,0.01637401073773172,0.003193849180459505,0.0007515249998547242,0.0002472330239926971,0.0007626187893928579,0.23208207713776,0.01775101415726028,0.0003395756150053541,0.02806686491092479,,0.010973342680291247,,0.0003008001791911148,0.004667210086262137,0.11749590982545241,0.002317862427500765,0.11751704085314411,7.216245956709921e-05,0.00699584933788566,0.00825177196874087,0.07216901018568361,,,,0.0002777673590071798,0.019385076528658163,,0.0019086600762513138,6.835887458259618e-05,0.004608677139556174,0.2581725570286817,,0.0750374415396912,,,,Control
