,taxaId,controlDetectionNum,treatDetectionNum,controlDetectionRate,treatDetectionRate,treat_logged_mean,control_logged_mean,logged_mean_diff,logged_mean_diff05,logged_mean_diff95,ID
40,taxa61170,30,26,0.40540540540540543,0.35135135135135137,-13.622025089000514,-12.047690680570732,-1.5743344084297832,-2.566086602679627,-0.6762485347493377,40
41,taxa644652,4,8,0.05405405405405406,0.10810810810810811,-15.543646895972671,-13.68584528817879,-1.8578016077938824,-3.1158906543527203,-0.444511768527598,41
42,taxa674963,6,5,0.08108108108108109,0.06756756756756757,-10.390748526311931,-9.49903065686479,-0.891717869447139,-2.4744226122392647,0.7714822186479442,42
43,taxa724,22,23,0.2972972972972973,0.3108108108108108,-11.543633691500991,-9.942110156384304,-1.6015235351166865,-2.706923515980849,-0.42841069114691116,43
44,taxa816,74,73,1.0,0.9864864864864865,-4.172806564723823,-2.6055321236878717,-1.567274441035951,-2.1015155617136183,-1.0546686576535789,44
45,taxa830,27,30,0.36486486486486486,0.40540540540540543,-7.702873662826958,-5.306894504692653,-2.3959791581343053,-4.428640783848048,-0.42654302260756427,45
46,taxa838,34,31,0.4594594594594595,0.4189189189189189,-7.145589751695404,-3.7304916412184763,-3.415098110476927,-5.1276197213657255,-1.8317958041525038,46
47,taxa841,74,72,1.0,0.972972972972973,-13.803122184821653,-5.229608509386253,-8.5735136754354,-9.032815865837858,-8.098211376142155,47
48,taxa84111,6,13,0.08108108108108109,0.17567567567567569,-14.47488228695114,-13.379635199039352,-1.0952470879117857,-2.8404640721287824,0.5361903923497826,48
49,taxa846,15,12,0.20270270270270271,0.16216216216216217,-14.795513227788652,-13.19951187038671,-1.596001357401943,-2.7093753359539114,-0.44972363787619235,49
50,taxa872,16,12,0.21621621621621623,0.16216216216216217,-14.359352749804223,-10.086645360751424,-4.272707389052801,-6.087602860503987,-2.5463897554520103,50
51,taxa904,7,7,0.0945945945945946,0.0945945945945946,-10.898892128804224,-9.142360802769465,-1.7565313260347606,-4.366875037827632,0.7751524834355563,51
52,taxa906,12,6,0.16216216216216217,0.08108108108108109,-9.349406122059333,-8.232307201961158,-1.117098920098179,-4.23390798715267,1.6250927697752506,52
53,taxa946234,14,15,0.1891891891891892,0.20270270270270271,-8.275623342881742,-13.252574163086646,4.9769508202049035,3.2726296468194667,6.537593549293815,53
