item,value,type
220,taxa40544,0.01133197564519805,mwu_logged_pvalue
221,taxa447020,-3.5420097080312316,logged_relative_abundance_diff
222,taxa447020,-0.7920097080312316,qml_logged_loads_diff
223,taxa447020,0.35311123450600557,qml_diff_pvalue
224,taxa447020,0.005340992525067206,mwu_diff_pvalue
225,taxa447020,0.005340992525067206,mwu_logged_pvalue
226,taxa459786,3.483321287287323,logged_relative_abundance_diff
227,taxa459786,6.233321287287323,qml_logged_loads_diff
228,taxa459786,0.00011976381809765078,qml_diff_pvalue
229,taxa459786,0.005105016420149752,mwu_diff_pvalue
230,taxa459786,0.005105016420149752,mwu_logged_pvalue
231,taxa561,-3.5031401772135613,logged_relative_abundance_diff
232,taxa561,-0.7531401772135613,qml_logged_loads_diff
233,taxa561,0.7040429655866594,qml_diff_pvalue
234,taxa561,0.17146020606432733,mwu_diff_pvalue
235,taxa561,0.17146020606432733,mwu_logged_pvalue
236,taxa572511,-2.3449336525952784,logged_relative_abundance_diff
237,taxa572511,0.4050663474047216,qml_logged_loads_diff
238,taxa572511,0.9892089047911196,qml_diff_pvalue
239,taxa572511,0.0009209133942880078,mwu_diff_pvalue
240,taxa572511,0.0009209133942880078,mwu_logged_pvalue
241,taxa577309,-6.41931781422607,logged_relative_abundance_diff
242,taxa577309,-3.66931781422607,qml_logged_loads_diff
243,taxa577309,0.0033980871444478484,qml_diff_pvalue
244,taxa577309,0.0002921538464331819,mwu_diff_pvalue
245,taxa577309,0.0002921538464331819,mwu_logged_pvalue
246,taxa577310,-4.104020308128144,logged_relative_abundance_diff
247,taxa577310,-1.3540203081281437,qml_logged_loads_diff
248,taxa577310,0.31647178784797814,qml_diff_pvalue
249,taxa577310,0.008009942329880022,mwu_diff_pvalue
250,taxa577310,0.008009942329880022,mwu_logged_pvalue
251,taxa61170,2.6227035039913815,logged_relative_abundance_diff
252,taxa61170,5.3727035039913815,qml_logged_loads_diff
253,taxa61170,0.005677232138159301,qml_diff_pvalue
254,taxa61170,0.11577768575893191,mwu_diff_pvalue
255,taxa61170,0.11577768575893191,mwu_logged_pvalue
256,taxa724,-5.942342277597161,logged_relative_abundance_diff
257,taxa724,-3.1923422775971613,qml_logged_loads_diff
258,taxa724,0.08766879512992924,qml_diff_pvalue
259,taxa724,0.0015156239592407949,mwu_diff_pvalue
260,taxa724,0.0015156239592407949,mwu_logged_pvalue
261,taxa816,-2.3407258823844987,logged_relative_abundance_diff
262,taxa816,0.40927411761550125,qml_logged_loads_diff
263,taxa816,0.5399241969807155,qml_diff_pvalue
264,taxa816,0.0007311539508918676,mwu_diff_pvalue
265,taxa816,0.0007311539508918676,mwu_logged_pvalue
266,taxa830,0.22508160801328622,logged_relative_abundance_diff
267,taxa830,2.9750816080132862,qml_logged_loads_diff
268,taxa830,0.5005594978181394,qml_diff_pvalue
269,taxa830,0.8542396057680933,mwu_diff_pvalue
270,taxa830,0.8542396057680933,mwu_logged_pvalue
271,taxa838,-11.496628950358026,logged_relative_abundance_diff
272,taxa838,-8.746628950358026,qml_logged_loads_diff
273,taxa838,0.00041229480206169127,qml_diff_pvalue
274,taxa838,0.00041229480206169127,mwu_diff_pvalue
275,taxa838,0.00041229480206169127,mwu_logged_pvalue
276,taxa841,-1.97097219945306,logged_relative_abundance_diff
277,taxa841,0.77902780054694,qml_logged_loads_diff
278,taxa841,0.2676519266825975,qml_diff_pvalue
279,taxa841,0.00334378498054686,mwu_diff_pvalue
280,taxa841,0.00334378498054686,mwu_logged_pvalue
281,taxa872,-7.523201276528967,logged_relative_abundance_diff
282,taxa872,-4.773201276528967,qml_logged_loads_diff
283,taxa872,0.012419330651552265,qml_diff_pvalue
284,taxa872,0.0034052358212947604,mwu_diff_pvalue
285,taxa872,0.0034052358212947604,mwu_logged_pvalue
