,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa1357,taxa135858,taxa1485,taxa1578,taxa1678,taxa1730,taxa189330,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa644652,taxa724,taxa816,taxa830,taxa838,taxa841,taxa872,taxa946234,condition
10,,,0.008400480332760002,,7.146218759781525e-05,,,,,,0.30171291079070117,0.009447034052066325,,0.0060053839300463095,,0.007819432639207672,,,0.008707478328702018,0.10374150189920223,,,0.0004966733349866847,,0.08247727123974204,0.013871901468559088,0.0011658799889400575,,,,0.0012145232537067944,0.01000904742462297,,,,,,0.39065773263168296,,,0.05420128649747566,,,Control
11,,0.0036141199461160864,0.007434705408546073,,,,,0.0007160203612910868,,0.004912342324129546,0.20254728239636072,0.02033874894602684,0.0013756853707347066,0.036620527344692594,,0.04065352125144949,,,0.002739689813995575,0.05217306749045211,,,,,0.06136841655498914,0.053156929469432804,,0.012570932175924197,,0.003381526039400178,,0.018757417773186923,,,0.0009548645888482597,,,0.4628618743646575,,,0.013046263952688554,,0.0007760644270776606,Control
12,,,0.0,0.0011792780308065528,,,,0.0003712559470801526,3.2757845324234796e-05,0.0010591706988890832,0.0022493705786421556,,,0.0035596843916115475,,0.006868233370658111,0.0012775603685110568,8.735432754572445e-05,0.00631134779971317,,0.00012011173278336929,,,0.0004913676798635219,0.020561065526579044,0.01732895958820985,4.3677163772862224e-05,0.0007315922456467353,,0.004597023494988816,,3.2757845324234796e-05,0.03265959599302454,0.0005459648222148966,,,,0.27070056213846655,,0.6285470708223078,0.0006223990611604611,2.1838526875607365e-05,,Control
13,,0.00011550724480547493,0.12938851044283184,,0.0002241441702173157,,,0.0002942428977804897,,,0.2619599110422457,0.0340009959816146,0.03760437115483521,,,0.00036337548667893374,,,0.006150868134632068,0.0462921047255667,,0.006650683870518953,0.024545718916125527,,0.004999338195014659,0.012627217650537554,,,,,0.0004401298361546907,0.12363032400104212,,7.772048814048687e-05,0.0009911509212722589,,,0.2656634425903766,,,0.04398024224960878,,,Control
14,,0.0013172902680962063,0.04304336667662792,,0.0004988361369175977,,,,,0.0011805823735212,0.17384476291148576,0.007471255213702605,,0.03386178599792596,0.001507689766327601,0.032524664646357455,,,0.017806519721854288,0.12135673724668823,0.0025399609517527673,,0.005027179660228139,,0.02029394939930277,0.016140392256721398,,0.009057425438026968,,5.643420030681218e-05,0.0019543110824005784,0.013246425368090753,,0.00032257155988454515,,,,0.16171404695768501,,0.3056117641362662,0.02962204802982933,,,Control
15,0.00011309550245471625,0.002231093287071935,0.01527464029235238,0.001404478964589023,0.00040595545004003676,,,0.0012695297452752921,,0.003265368273901799,0.08697698743189722,0.0036817973946945428,0.0002165230011377025,0.036325006462959816,,0.004750917478451682,0.0005062609891717352,0.00018379278003549163,0.012208473179497269,0.034948524425959755,0.0002702005637453283,,0.01782961170577727,0.0007226832819368155,0.020251648067340876,,0.09645737150543209,1.2085004714662466e-05,0.0001502568919523033,0.0007910642669472805,,0.003370507814919362,0.007978620820992781,,4.6627976524072684e-05,,0.003047334647174763,0.05993245892281721,0.032540385819818024,0.5244448929323973,0.028391805118019642,,0.0,Control
16,,,0.06826457855104112,,0.011186906309359045,,,,,,0.07011226186739969,0.021461845274383842,,,,,,,,,,,0.01018806107385483,,0.03356262282649954,,0.057960880699319935,,,,,0.009519391906868506,,,,,,0.7126251713007555,,,0.005118280190518106,,,Control
17,0.00036267707580522993,0.0035551548059003383,0.04609268064536496,0.0003393840129084434,0.0004754645382528283,0.0,,0.0001397583773807196,,0.030901721459510628,0.25148437086560904,0.01067803041215849,1.5630871154422587e-05,0.07519123298150593,,0.04113514042549888,0.0007969701037624222,0.000512651708842435,0.008326657010261822,0.06043017383367649,,,0.0076741447614820995,0.005206203882544937,0.024128854772043663,0.032380320140673755,0.07300107209386861,,0.0009209954474321541,0.004787541725742165,0.0004907889217375562,0.020158000523480938,0.015038124001233303,3.0137954186631786e-05,0.0004833310551083221,4.0967185182506254e-05,,0.25919968713738684,,,0.02586663985921182,2.1556299435184098e-05,0.00013393511165652296,Control
18,,0.0014207752408047626,0.040407367372072144,0.0018627761655973312,,,0.0062927294196363495,,0.005203556341876148,0.0010478750115548339,0.10207522275334716,0.006112519676194751,0.003110951871720699,0.05166895429542,,0.01616712749017446,,,0.01113566333572903,0.06335610409263837,0.002912173218904205,0.036671972504214286,0.2529704420506449,0.0003719870041987045,0.010475198684793576,0.00011648692875616819,,0.0006250518128379759,,,,0.018772457091867294,0.015131936159886632,,,,1.8771848275166483e-05,0.11860662556950997,,0.1863131308672807,0.04715214319206453,,,Control
19,,0.0013964890359353587,0.015271838791258567,0.0002768263244513916,,0.0004125552943616971,,0.00444988440753697,0.0,0.03870058351302228,0.017115017944585306,0.007024683224790674,4.497288256729523e-05,0.05027036400483924,,0.055837480157234914,0.00265552716726752,0.0003516798384541645,0.008146574322347796,0.011360616071768616,5.226578244307284e-05,,0.005510596178358401,0.00593925662661244,0.07354919911804532,0.0662923585805424,0.07393977442250362,0.01594481138535116,0.0002961727671774128,0.007873900899214555,5.398771713596477e-05,0.020470562209651422,,8.984447485853802e-05,0.00242185050041448,5.621610320911906e-05,,0.47920125729593854,,,0.03397944374621681,,0.0010134092119049296,Control
