,taxa1017280,taxa102106,taxa1263,taxa1301,taxa1348911,taxa135858,taxa1485,taxa1678,taxa1730,taxa189330,taxa191303,taxa207244,taxa216851,taxa2172,taxa239759,taxa239934,taxa244127,taxa283168,taxa292632,taxa29465,taxa33024,taxa33042,taxa35832,taxa375288,taxa397864,taxa39948,taxa40544,taxa447020,taxa459786,taxa52225,taxa561,taxa572511,taxa577309,taxa577310,taxa61170,taxa724,taxa816,taxa830,taxa838,taxa841,taxa872,taxa946234,condition
11,0.00021169399237617472,0.0005319750278216241,0.018838938623558756,0.0004499765878216485,0.0002346291996038907,,0.0013448556025738578,0.0053806402089092925,0.11638298386234167,0.008828836984056784,,0.00016318501425737728,0.03065219407731762,0.002565901679405178,0.05971891584260602,0.00030647931782169113,0.0008695082102967714,0.006286073478314964,0.09935755034125761,8.686963445541974e-05,,0.0053166042984637675,0.0032934348679693193,0.038122170774741136,0.04936539499399524,,,0.0006069711257918989,0.003402732293563346,,,0.00762920386618585,0.012430070451679473,0.0009299922081185356,0.00026334895024744654,0.00018896175158410221,0.09643463070155552,,0.4096278752478981,0.02010869664494452,,6.870413846532612e-05,Control
12,,,0.08625596677538137,,,,,,0.059324272627042644,0.13107366490061723,,,0.03456352806698299,,0.015445767546260102,,,,0.26002333484865714,,,0.029473565292578052,,0.024425540632966553,0.0076820994581455115,0.19266751191699621,,,,0.011145505493240889,,0.017985832742972434,,,,,0.03392462396410098,,0.013126830591185953,0.08288195514287203,,,Control
13,,,0.01779339712914812,,,,,,0.05213409348791169,0.025087675335587686,,,,0.015778945933107313,0.027770023743434156,,,0.0065245171169526035,0.23883006772288684,,,0.01703600450654644,,0.040049498001135095,0.006452920788315801,0.09694997628874398,,,,,0.07606476410819733,,,,,,0.33284047171522685,,,0.04668764412280621,,,Control
14,1.3496529551469423e-05,0.009315877276465772,0.06652879075594062,0.0004624606300098197,0.00024457347490238526,,6.400626893348377e-05,0.0152853309492191,0.03014419201389897,0.014709683514561731,,0.00011400477613551821,0.05678664808780759,,0.03444661979417383,0.08140073936442797,0.00034211657484255073,0.004764888410284682,0.15793291243247132,0.00018925815302855986,0.07730035054168118,0.06769123048677891,0.0008574386122622923,0.014617354982857362,0.00732421894970007,,0.00019191656036445534,2.331218740708354e-05,0.0013913695010333025,0.01930484284109309,0.00013036420589487507,0.008421425454372937,0.011508143110655593,3.5581759726601206e-05,2.3721173151067468e-05,,0.08035843919588494,6.717590844935917e-05,0.20085596626358393,0.03642651978079999,0.0007250294776474977,,Control
15,,,0.39120938185579246,,,,0.04179264282800466,,0.20464617285510395,0.013676840765204132,,0.0016741383316220063,,,0.0019565876101343403,,,,0.0601907121512078,,,0.0014152443378984188,,0.04439218264339548,,,,,,,0.0025685967367365015,0.08576811106959197,,,,,0.14185634916641057,,,0.008853039648897774,,,Control
16,,,0.0019682067460874853,5.7296977205504146e-05,,,0.0006356225513626472,0.00454950125356085,0.1658681805733942,0.006860176175573297,,0.00043068733130486523,0.0683758075387462,,0.0714876296129372,0.0001759330464105515,0.004106182313524612,0.008401939810889658,0.02283218857273937,0.0006444141510396824,2.7587433469316812e-05,0.003853954350376573,,0.04857763033041256,0.05465232254863421,0.04023551381847469,,0.001034781387274008,0.0014122138561674083,3.07200724346971e-05,0.00033195867746046043,0.050836161971581896,0.00012318344834834135,0.0005526581452149949,0.0016210901381493782,0.0003956219854665762,0.39807251756046236,0.0007679007579975768,,0.0410804168632987,,0.0,Control
17,,0.007040166786167022,0.006923190386423965,,,0.13848169402813415,0.002529718981191602,0.04259610338615079,0.02299319593236928,0.014667481169005616,,,0.05347383538427583,0.029686130021235806,0.0003830052966102957,0.02121959045858922,0.00027473356269929063,0.004643164148414791,0.3096631210853598,8.537727035273093e-05,0.004453688614070531,0.01604794577637093,,0.007261360691899307,,,,,0.00033972045144543356,,0.010920778359294501,0.006973868235446185,0.00026555192887644103,,,0.0005071362162153138,0.01805371541967162,0.19760426132742337,0.06994413631649783,0.010573903387987107,0.002393425377821251,,Control
18,,,0.24880779909903086,,,0.05188376022397268,,,0.030347817054181093,,,,0.03261052729830189,,,,,,0.18457272212222048,,,,,,,,,,,,,,,,,,,0.19867188091991794,0.08911946999688371,0.1639860232854914,,,Control
19,,,0.021025831494314935,,,,,,0.046234216889876036,0.009066620455660946,,,0.0005905639732729912,,0.0060884408910341315,0.00020182093200061074,,0.0016477463945641486,0.033381287818310436,,0.016055647631219267,0.0005718611958048718,,0.08679251064711084,,,,,,,0.0012109255920036645,0.005413450255631042,,0.001290385979890816,,,0.39876540535628524,,0.2383505206927213,0.13331276380029874,,,Control
20,,0.0003100889590563429,0.014689249476025951,0.0011858002458554995,0.00027612235585670983,0.00937060197808955,0.042840038619505263,0.0009294307761671916,0.020245767708985007,0.00928134819614344,0.00010754349136129994,,0.009462050525165489,0.0006374225012755765,,,,0.0019511462004121556,0.004735571561780235,,,0.004038994914624681,,0.0011554915845389034,0.00014819890257563,0.043203742555304424,,,,0.0023518476055425963,,0.004399877009542628,0.002882144665957791,,,,0.015444457705935331,0.006891980558143403,0.7958939497850278,0.007567132117126882,,,Control
