"","taxon","mean.difference (yCRC(Fudan cohort) - yControl(Fudan cohort))","se (yCRC(Fudan cohort) - yControl(Fudan cohort))","W","p.val","q.val","diff.abn"
"30","Herbaspirillum",0.272986155847082,0.0840537219426835,3.24775809491496,0.00116318116847736,0.136092196711851,FALSE
"31","Burkholderia",-0.142883659351111,0.133147486471683,-1.07312321950215,0.283215834240548,1,FALSE
"32","Peptostreptococcus",0.965387377998265,0.180994348348232,5.33379846834148,9.61792657585531e-08,1.12529740937507e-05,TRUE
"33","Clostridium_III",0.282769240026501,0.107975648472414,2.61882418885166,0.00882334084672861,1,FALSE
"34","Haemophilus",-0.925282086674866,0.208971937953134,-4.42778152769191,9.52072625240163e-06,0.00111392497153099,TRUE
"35","Clostridium_XVIII",-0.44854273199612,0.240583093005609,-1.86439839305609,0.0622657783905722,1,FALSE
"36","Clostridium_XlVb",-0.0701796538729424,0.211717944971453,-0.331477116322875,0.740284123411301,1,FALSE
"37","Leuconostoc",-0.120699802886586,0.0887906187229162,-1.35937562574315,0.174027590765568,1,FALSE
"38","Pseudoflavonifractor",0.0542333371343107,0.119109813703679,0.455322155647326,0.648877489197038,1,FALSE
"39","Weissella",-0.0873765375482848,0.12231252101535,-0.714371160229124,0.474997700350224,1,FALSE
"40","Howardella",0.428834489077163,0,Inf,0,0,TRUE
"41","Parvimonas",1.17735930806752,0.197561756732348,5.95944947818303,2.5308909070153e-09,2.9611423612079e-07,TRUE
"42","Holdemanella",0.163085360615897,0.22587498628209,0.722016028867504,0.470284622786639,1,FALSE
"43","Ruminococcus",-0.586129378851662,0.305795360697936,-1.91673731581114,0.0552713120337006,1,FALSE
"44","Hydrogenophaga",0.2744562596855,0.0906354268399768,3.02813446413257,0.0024606857021723,0.287900227154159,FALSE
"45","Asaccharobacter",-0.114112895336933,0.117070112059719,-0.974739780540421,0.329689354932038,1,FALSE
"46","Gemella",0.200467431547311,0.171004727421221,1.17229175222458,0.241079941830201,1,FALSE
"47","Abiotrophia",-0.00511259252603813,0.107145055720447,-0.0477165510966503,0.961942143260222,1,FALSE
"48","Akkermansia",-0.309077350135722,0.245707700611486,-1.25790664829197,0.208425519045904,1,FALSE
"49","Parasutterella",-1.27564370662128,0.257116202341366,-4.96135091839775,7.00045888317661e-07,8.19053689331664e-05,TRUE
"50","Arthrobacter",-0.155060920328277,0.0930970202727217,-1.66558413871933,0.0957962724760558,1,FALSE
"51","Alistipes",0.107918140854382,0.254051189717616,0.424788960737936,0.670990525829084,1,FALSE
"52","Acinetobacter",-0.214658170250072,0.109159787598205,-1.96645829909624,0.0492456948013076,1,FALSE
"53","Hungatella",0.0099065830964431,0.200374669994014,0.0494402965042391,0.960568415444179,1,FALSE
"54","Allobaculum",-0.271960155541907,0,Inf,0,0,TRUE
"55","Lachnospiracea_incertae_sedis",-1.01777203489099,0.20803612606195,-4.89228507642905,9.96719327894664e-07,0.000116616161363676,TRUE
"56","Pelomonas",0.0493692865332698,0.0812693271312666,0.607477485983467,0.54353407940019,1,FALSE
"57","Helicobacter",-0.352648418577471,0,Inf,0,0,TRUE
"58","Actinomyces",-0.480791377672355,0.170666355297823,-2.81714211821858,0.00484530803175557,0.566901039715402,FALSE
